ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_10,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_100,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani
ASV_1000,Unknown,NA,NA,NA,NA,NA,NA
ASV_1001,Unknown,NA,NA,NA,NA,NA,NA
ASV_1002,Unknown,NA,NA,NA,NA,NA,NA
ASV_1003,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
ASV_1004,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1005,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_1006,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Aetideidae,NA,NA
ASV_1007,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
ASV_1008,Unknown,NA,NA,NA,NA,NA,NA
ASV_1009,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_101,Unknown,NA,NA,NA,NA,NA,NA
ASV_1010,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Aetideidae,NA,NA
ASV_1011,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Chiridius,NA
ASV_1012,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,Paraeuchaeta elongata
ASV_1013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1014,Unknown,NA,NA,NA,NA,NA,NA
ASV_1015,Unknown,NA,NA,NA,NA,NA,NA
ASV_1016,Unknown,NA,NA,NA,NA,NA,NA
ASV_1017,Unknown,NA,NA,NA,NA,NA,NA
ASV_1018,Unknown,NA,NA,NA,NA,NA,NA
ASV_1019,Unknown,NA,NA,NA,NA,NA,NA
ASV_102,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_1020,Unknown,NA,NA,NA,NA,NA,NA
ASV_1021,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
ASV_1022,Unknown,NA,NA,NA,NA,NA,NA
ASV_1023,Unknown,NA,NA,NA,NA,NA,NA
ASV_1024,Unknown,NA,NA,NA,NA,NA,NA
ASV_1025,Unknown,NA,NA,NA,NA,NA,NA
ASV_1026,Unknown,NA,NA,NA,NA,NA,NA
ASV_1027,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus mastigophorus
ASV_1028,Unknown,NA,NA,NA,NA,NA,NA
