ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_10	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani
ASV_100	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	NA	NA	NA
ASV_1000	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	Ditylum brightwellii
ASV_10000	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10001	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae	Membranipora	Membranipora villosa
ASV_10002	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	Littorina plena
ASV_10003	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium	Ceramium pacificum
ASV_10004	Unknown	NA	NA	NA	NA	NA	NA
ASV_10005	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Scleroplax	Scleroplax tubicola
ASV_10006	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10007	Unknown	NA	NA	NA	NA	NA	NA
ASV_10008	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Scleroplax	Scleroplax tubicola
ASV_10009	Unknown	NA	NA	NA	NA	NA	NA
ASV_1001	Eukaryota	Arthropoda	Hexanauplia	NA	NA	NA	NA
ASV_10010	Eukaryota	Arthropoda	Ostracoda	Halocyprida	Halocyprididae	Metaconchoecia	NA
ASV_10011	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_10012	Unknown	NA	NA	NA	NA	NA	NA
ASV_10013	Unknown	NA	NA	NA	NA	NA	NA
ASV_10014	Unknown	NA	NA	NA	NA	NA	NA
ASV_10015	Eukaryota	Echinodermata	Asteroidea	Valvatida	Poraniidae	Dermasterias	Dermasterias imbricata
ASV_10016	Eukaryota	Mollusca	Bivalvia	Galeommatida	NA	NA	NA
ASV_10017	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	Pagurus caurinus
ASV_10018	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA
ASV_10019	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_1002	Eukaryota	Arthropoda	Malacostraca	Decapoda	Callianassidae	NA	NA
ASV_10020	Unknown	NA	NA	NA	NA	NA	NA
ASV_10021	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10022	Eukaryota	Annelida	Polychaeta	Terebellida	Pectinariidae	Pectinaria	Pectinaria californiensis
ASV_10023	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	NA
ASV_10024	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia pacifica
ASV_10025	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Balanus	Balanus crenatus
ASV_10026	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10027	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10028	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10029	Eukaryota	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	NA	NA
ASV_1003	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	NA	NA
ASV_10030	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris holmesi
ASV_10031	Unknown	NA	NA	NA	NA	NA	NA
ASV_10032	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	NA	NA	NA
ASV_10033	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	NA	NA
ASV_10034	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Balanus	Balanus crenatus
ASV_10035	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiolus	Modiolus modiolus
ASV_10036	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_10037	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_10038	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10039	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_1004	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	Centropages	Centropages abdominalis
ASV_10040	Eukaryota	Annelida	Polychaeta	Spionida	NA	NA	NA
ASV_10041	Eukaryota	Platyhelminthes	Rhabditophora	Polycladida	NA	NA	NA
ASV_10042	Unknown	NA	NA	NA	NA	NA	NA
ASV_10043	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Balanus	Balanus glandula
ASV_10044	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_10045	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	NA	NA
ASV_10046	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	NA	NA
