ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Unknown,NA,NA,NA,NA,NA,NA
ASV_10,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus
ASV_100,Unknown,NA,NA,NA,NA,NA,NA
ASV_1000,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus
ASV_1001,Eukaryota,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister
ASV_1002,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis
ASV_1003,Unknown,NA,NA,NA,NA,NA,NA
ASV_1004,Unknown,NA,NA,NA,NA,NA,NA
ASV_1005,Eukaryota,Arthropoda,Thecostraca,Balanomorpha,NA,NA,NA
ASV_1006,Eukaryota,Chordata,Actinopteri,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernua
ASV_1007,Eukaryota,Arthropoda,Thecostraca,Balanomorpha,NA,NA,NA
ASV_1008,Unknown,NA,NA,NA,NA,NA,NA
ASV_1009,Eukaryota,Arthropoda,Insecta,Diptera,NA,NA,NA
ASV_101,Eukaryota,Arthropoda,Insecta,NA,NA,NA,NA
ASV_1010,Eukaryota,Arthropoda,Insecta,NA,NA,NA,NA
ASV_1011,Unknown,NA,NA,NA,NA,NA,NA
ASV_1012,Eukaryota,Chordata,Actinopteri,Embiotocidae__o,Embiotocidae,Cymatogaster,Cymatogaster aggregata
ASV_1013,Eukaryota,Mollusca,Gastropoda,Neogastropoda,NA,NA,NA
ASV_1014,Unknown,NA,NA,NA,NA,NA,NA
ASV_1015,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ASV_1016,Unknown,NA,NA,NA,NA,NA,NA
ASV_1017,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka
ASV_1018,Eukaryota,Arthropoda,Insecta,Diptera,NA,NA,NA
ASV_1019,Unknown,NA,NA,NA,NA,NA,NA
ASV_102,Unknown,NA,NA,NA,NA,NA,NA
ASV_1020,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,NA,NA
ASV_1021,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus proximus
ASV_1022,Unknown,NA,NA,NA,NA,NA,NA
ASV_1023,Unknown,NA,NA,NA,NA,NA,NA
ASV_1024,Unknown,NA,NA,NA,NA,NA,NA
ASV_1025,Eukaryota,Arthropoda,Insecta,Diptera,NA,NA,NA
ASV_1026,Unknown,NA,NA,NA,NA,NA,NA
ASV_1027,Unknown,NA,NA,NA,NA,NA,NA
ASV_1028,Unknown,NA,NA,NA,NA,NA,NA
ASV_1029,Unknown,NA,NA,NA,NA,NA,NA
ASV_103,Unknown,NA,NA,NA,NA,NA,NA
ASV_1030,Unknown,NA,NA,NA,NA,NA,NA
ASV_1031,Unknown,NA,NA,NA,NA,NA,NA
ASV_1032,Unknown,NA,NA,NA,NA,NA,NA
ASV_1033,Unknown,NA,NA,NA,NA,NA,NA
ASV_1034,Unknown,NA,NA,NA,NA,NA,NA
ASV_1035,Unknown,NA,NA,NA,NA,NA,NA
ASV_1036,Unknown,NA,NA,NA,NA,NA,NA
ASV_1037,Eukaryota,Arthropoda,Insecta,Diptera,NA,NA,NA
ASV_1038,Unknown,NA,NA,NA,NA,NA,NA
ASV_1039,Unknown,NA,NA,NA,NA,NA,NA
ASV_104,Unknown,NA,NA,NA,NA,NA,NA
ASV_1040,Unknown,NA,NA,NA,NA,NA,NA
ASV_1041,Eukaryota,Arthropoda,Insecta,Diptera,NA,NA,NA
ASV_1042,Unknown,NA,NA,NA,NA,NA,NA
ASV_1043,Unknown,NA,NA,NA,NA,NA,NA
ASV_1044,Unknown,NA,NA,NA,NA,NA,NA
ASV_1045,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ASV_1046,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys stigmaeus
ASV_1047,Unknown,NA,NA,NA,NA,NA,NA
ASV_1048,Unknown,NA,NA,NA,NA,NA,NA
ASV_1049,Unknown,NA,NA,NA,NA,NA,NA
ASV_105,Unknown,NA,NA,NA,NA,NA,NA
ASV_1050,Eukaryota,Arthropoda,Thecostraca,Balanomorpha,NA,NA,NA
ASV_1051,Unknown,NA,NA,NA,NA,NA,NA
ASV_1052,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,NA
ASV_1053,Unknown,NA,NA,NA,NA,NA,NA
ASV_1054,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus proximus
ASV_1055,Unknown,NA,NA,NA,NA,NA,NA
ASV_1056,Unknown,NA,NA,NA,NA,NA,NA
ASV_1057,Eukaryota,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,NA
ASV_1058,Unknown,NA,NA,NA,NA,NA,NA
ASV_1059,Unknown,NA,NA,NA,NA,NA,NA
ASV_106,Eukaryota,Chordata,Amphibia,Caudata,NA,NA,NA
ASV_1060,Unknown,NA,NA,NA,NA,NA,NA
ASV_1061,Eukaryota,Arthropoda,Malacostraca,Amphionidacea,NA,NA,NA
ASV_1062,Eukaryota,Arthropoda,Thecostraca,Balanomorpha,NA,NA,NA
ASV_1063,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_1064,Unknown,NA,NA,NA,NA,NA,NA
ASV_1065,Unknown,NA,NA,NA,NA,NA,NA
ASV_1066,Unknown,NA,NA,NA,NA,NA,NA
ASV_1067,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ASV_1068,Eukaryota,Arthropoda,Insecta,Diptera,NA,NA,NA
