ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_10,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
ASV_100,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Corycaeidae,Ditrichocorycaeus,Ditrichocorycaeus anglicus
ASV_1000,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,NA,NA
ASV_1001,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,NA,NA
ASV_1002,Eukaryota,Arthropoda,Hexanauplia,NA,NA,NA,NA
ASV_1003,Eukaryota,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus hirsutiusculus
ASV_1004,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Cyzicidae,NA,NA
ASV_1005,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1006,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Nassariidae,NA,NA
ASV_1007,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1008,Eukaryota,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,NA
ASV_1009,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,NA,NA
ASV_101,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,NA
ASV_1010,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,NA,NA
ASV_1011,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1012,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_1013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
ASV_1014,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,NA,NA,NA
ASV_1015,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,NA,NA
ASV_1016,Unknown,NA,NA,NA,NA,NA,NA
ASV_1017,Eukaryota,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,NA
ASV_1018,Eukaryota,Annelida,Polychaeta,Chaetopteridae__o,Chaetopteridae,Chaetopterus,Chaetopterus cf_ longipes JM_2019
ASV_1019,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
ASV_102,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Ectinosomatidae,NA,NA
ASV_1020,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1021,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Ectinosomatidae,NA,NA
ASV_1022,Unknown,NA,NA,NA,NA,NA,NA
ASV_1023,Eukaryota,Arthropoda,Hexanauplia,NA,NA,NA,NA
ASV_1024,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
ASV_1025,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
ASV_1026,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
ASV_1027,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocomella,Mitrocomella polydiademata
ASV_1028,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1029,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,NA,NA
ASV_103,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1030,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo_nitzschia,Pseudo_nitzschia pungens
ASV_1031,Eukaryota,Dinophyceae__p,Dinophyceae,Gonyaulacales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula
ASV_1032,Eukaryota,Arthropoda,Malacostraca,Decapoda,Portunidae,NA,NA
ASV_1033,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1034,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_1035,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,NA
ASV_1036,Eukaryota,Dinophyceae__p,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
ASV_1037,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,NA,NA,NA
ASV_1038,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Corycaeidae,Ditrichocorycaeus,Ditrichocorycaeus anglicus
ASV_1039,Eukaryota,Arthropoda,Malacostraca,Decapoda,Munididae,NA,NA
ASV_104,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1040,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ASV_1041,Eukaryota,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus,Cerebratulus marginatus
ASV_1042,Unknown,NA,NA,NA,NA,NA,NA
ASV_1043,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1044,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
ASV_1045,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
ASV_1046,Eukaryota,Annelida,Polychaeta,Chaetopteridae__o,Chaetopteridae,NA,NA
ASV_1047,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,NA,NA
ASV_1048,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus sinicus
ASV_1049,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Proboscidactylidae,Proboscidactyla,NA
ASV_105,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
ASV_1050,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1051,Eukaryota,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorella,Eudorella hirsuta
ASV_1052,Eukaryota,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,Oikopleura dioica
ASV_1053,Eukaryota,Annelida,Polychaeta,Phyllodocida,Iospilidae,Phalacrophorus,Phalacrophorus borealis
ASV_1054,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1055,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1056,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
ASV_1057,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1058,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1059,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_106,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,NA,NA
ASV_1060,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,NA,NA
ASV_1061,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Eudendriidae,Eudendrium,NA
ASV_1062,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1063,Unknown,NA,NA,NA,NA,NA,NA
ASV_1064,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1065,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,NA
ASV_1066,Eukaryota,NA,NA,NA,NA,NA,NA
ASV_1067,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_1068,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,NA,NA
ASV_1069,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
ASV_107,Eukaryota,Annelida,Polychaeta,Phyllodocida,Alciopidae,Rhynchonereella,Rhynchonereella bongraini
ASV_1070,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Proboscidactylidae,Proboscidactyla,NA
ASV_1071,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1072,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1073,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Eirenidae,Eutonina,Eutonina indicans
ASV_1074,Eukaryota,Arthropoda,Thecostraca,Balanomorpha,Pyrgomatidae,NA,NA
ASV_1075,Eukaryota,Ciliophora,Oligohymenophorea,Apostomatida,Pseudocolliniidae,Fusiforma,Fusiforma themisticola
ASV_1076,Eukaryota,Arthropoda,Hexanauplia,NA,NA,NA,NA
ASV_1077,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma
ASV_1078,Eukaryota,Arthropoda,Malacostraca,Decapoda,Crangonidae,NA,NA
ASV_1079,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA
ASV_108,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Proboscidactylidae,Proboscidactyla,NA
ASV_1080,Eukaryota,Oomycota,Peronosporales__c,Peronosporales,Pontismataceae,Pontisma,NA
ASV_1081,Eukaryota,Cnidaria,Hydrozoa,NA,NA,NA,NA
ASV_1082,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1083,Eukaryota,Arthropoda,Malacostraca,Decapoda,Albuneidae,NA,NA
ASV_1084,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,NA,NA,NA
ASV_1085,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
ASV_1086,Eukaryota,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Panopea,NA
ASV_1087,Eukaryota,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Maculaura,Maculaura alaskensis
ASV_1088,Eukaryota,Arthropoda,Malacostraca,Mysida,Pentalophthalmidae,NA,NA
ASV_1089,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,NA,NA
ASV_109,Eukaryota,Acantharea__p,Acantharea,Arthracanthida,NA,NA,NA
ASV_1090,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1091,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1092,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_1093,Eukaryota,Dinophyceae__p,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
ASV_1094,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Anomalocera,NA
ASV_1095,Eukaryota,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,Oikopleura dioica
ASV_1096,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,NA,NA
ASV_1097,Eukaryota,Arthropoda,Malacostraca,Decapoda,Palaemonidae,NA,NA
ASV_1098,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
ASV_1099,Eukaryota,Arthropoda,Malacostraca,Mysida,Mysidae,NA,NA
ASV_11,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_110,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1100,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,NA,NA,NA
ASV_1101,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1102,Eukaryota,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
ASV_1103,Eukaryota,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,NA
ASV_1104,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
ASV_1105,Eukaryota,Echinodermata,Ophiuroidea,Euryalida,Asteronychidae,NA,NA
ASV_1106,Eukaryota,Annelida,Polychaeta,Chaetopteridae__o,Chaetopteridae,Spiochaetopterus,NA
ASV_1107,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella longispinosa
ASV_1108,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,NA
