x	MP_1804_P12_Ob	MP_1804_P12_Ve	MP_1804_P22_ObB	MP_1804_P22_VeA	MP_1804_P22_Ve	MP_1804_P28_ObB	MP_1804_P28_VeA	MP_1804_P28_Ve	MP_1804_P38_Ob	MP_1804_P38_Ve	MP_1804_P402_ObB	MP_1804_P402_Ve	MP_1804_P4_ObB	MP_1804_P4_Ve	MP_1804_P8_Ob	MP_1804_P8_Ve	MP_1806_CA042_1B	MP_1806_CA042_2B	MP_1806_CA042_3B	MP_1807_P12_ObA	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P28_ObA	MP_1807_P28_ObB	MP_1807_P28_Ve	MP_1807_P38_VeB	MP_1807_P38_Ve	MP_1807_P402_Ve	MP_1807_P4_ObB	MP_1807_P4_Ve	MP_1807_P8_Ve	MP_1809_P12_Ob	MP_1809_P12_Ve	MP_1809_P22_Ob	MP_1809_P28_Ob	MP_1809_P28_Ve	MP_1809_P38_Ob	MP_1809_P402_Ob	MP_1809_P402_Ve	MP_1809_P4_Ob	MP_1809_P8_Ob	MP_1904_P12_Ve	MP_1904_P22_ObA	MP_1904_P22_ObB	MP_1904_P22_Ve	MP_1904_P28_Ve	MP_1904_P38_Ob	MP_1904_P38_Ve	MP_1904_P402_Ob	MP_1904_P402_Ve	MP_1904_P4_Ve	MP_1904_P8_Ve	MP_1907_P12_ObB	MP_1907_P12_Ve	MP_1907_P22_ObB	MP_1907_P22_Ve	MP_1907_P28_ObA	MP_1907_P28_VeA	MP_1907_P28_Ve	MP_1907_P38_Ob	MP_1907_P38_VeA	MP_1907_P38_Ve	MP_1907_P402_ObB	MP_1907_P402_Ve	MP_1907_P4_Ve	MP_1907_P8_ObA	MP_1907_P8_Ob	MP_1907_P8_Ve	MP_1909_CA042_1B	MP_1909_P12_ObA	MP_1909_P12_ObB	MP_1909_P12_VeA	MP_1909_P12_VeB	MP_1909_P12_Ve	MP_1909_P22_ObB	MP_1909_P22_Ob	MP_1909_P22_VeB	MP_1909_P28_ObA	MP_1909_P28_ObB	MP_1909_P28_VeA	MP_1909_P28_VeB	MP_1909_P28_Ve	MP_1909_P38_ObA	MP_1909_P38_ObB	MP_1909_P38_Ob	MP_1909_P38_VeA	MP_1909_P38_VeB	MP_1909_P38_Ve	MP_1909_P402_Ve	MP_1909_P4_VeB	MP_1909_P4_Ve	MP_1909_P8_Ob	MP_1909_P8_VeB	MP_1909_P8_Ve	MP_2007_P12_ObB	MP_2007_P12_VeB	MP_2007_P22_ObB	MP_2007_P22_VeA	MP_2007_P28_ObB	MP_2007_P28_VeA	MP_2007_P38_ObB	MP_2007_P38_VeB	MP_2007_P402_ObB	MP_2007_P402_VeB	MP_2007_P4_ObB	MP_2007_P8_ObB	MP_2007_P8_VeB	MP_2009_P12_ObA	MP_2009_P12_VeA	MP_2009_P12_VeB	MP_2009_P22_ObB	MP_2009_P22_VeB	MP_2009_P28_ObB	MP_2009_P28_VeB	MP_2009_P38_ObB	MP_2009_P38_VeB	MP_2009_P402_ObB	MP_2009_P402_VeB	MP_2009_P4_ObB	MP_2009_P4_VeB	MP_2009_P8_ObB	MP_2009_P8_VeB	MP_2010_P105_ObB	MP_2010_P105_VeB	MP_2010_P123_ObB	MP_2010_P123_VeB	MP_2010_P132_VeB	MP_2010_P136_ObB	MP_2010_P136_VeB	MP_2010_P22_ObB	MP_2010_P22_VeB	MP_2010_P28_ObA	MP_2010_P28_VeB	MP_2010_P381_ObB	MP_2010_P381_VeB	MP_2010_P7_ObB	MP_2010_P7_VeB	MP_Control1	MP_Control2
ASV_1	16346	30053	612	76	209	11262	552	13842	21038	65086	12098	20197	22017	15449	64057	19825	171	472	690	18238	13867	27048	61699	53861	19995	27308	55189	60534	43431	75443	58458	8520	6117	25688	31910	36613	29024	34977	23790	30480	9534	5065	47	44	209	9618	32308	56216	62	40	248	4158	21545	7078	16264	29350	40480	45213	51128	53647	68149	58838	44127	19787	31069	58249	34577	51915	3179	6784	12219	1162	1584	5454	29550	32067	19077	36571	42069	41005	97187	58371	88514	61077	50966	49896	54480	53366	97145	20164	80085	54854	71703	45668	30469	19469	1154	587	35979	4503	55065	45438	12078	2258	30568	46874	52734	3400	879	13543	85204	103367	112622	24541	95344	80199	17743	72216	14147	10301	83090	84295	2107	1046	6995	4874	7644	3442	14437	18594	28676	6687	51970	1575	2038	26978	48660	5	99
ASV_2	1036	20782	574	551	3580	15009	2184	14226	2648	7286	30	8378	2589	3320	658	4244	0	0	0	64325	28936	455	2721	1358	1254	24766	2156	15489	25661	5733	1360	28701	26600	20	3644	232	54	3296	220	30481	33475	19406	26	12	39	8798	5087	9378	9	12	18	2907	23054	36563	934	321	4325	7261	1586	348	8828	1186	8680	14421	14461	2315	295	1110	0	62291	34760	52852	46942	34535	242	1803	35	1465	1165	1957	4148	701	8432	359	87	190	343	37	14123	594	7723	208	151	102	20623	24263	46	114	6794	5321	269	204	784	231	1078	24	72	26571	12656	52401	0	28	77	6	0	130	0	9175	9668	53771	17	0	91	226	271	632	797	0	131	872	1084	19	7	0	0	3	0	0	14
ASV_3	0	0	77386	28667	2550	2993	2970	1479	80	497	21	0	0	12	1975	2574	18750	44518	48926	0	0	2255	109	149	30	4	164	9	6	0	0	31	0	384	0	0	0	0	0	935	0	0	14891	10380	62758	17407	6446	483	2	0	0	15802	2	8	32154	7510	97	434	38	111	3684	72	7	3	1	4344	158	47	1777	6239	231	242	1753	28	559	2395	1400	0	0	78	219	0	14730	285	75	104	97	64	0	365	1	51	2868	93	14	5	48328	57507	4365	6211	4	22	36	19	4	3835	990	164	176	25	3989	15	16	25	43	0	34	9	1080	1557	0	17	42454	42254	30684	19876	5607	1517	19539	2373	6790	0	13	103286	122646	27	0	1	0
ASV_4	384	4183	139	157	654	3507	551	2668	404	2021	0	1398	721	658	110	1380	0	11	0	18115	7196	245	217	110	320	6178	661	3427	3727	750	177	6988	4906	1591	2160	129	0	970	50	7461	3982	16284	0	0	13	3312	681	973	0	15	6	1317	6848	9607	5083	3376	747	1768	218	151	1575	491	2420	2688	3317	1062	116	80	0	16066	8449	11659	10337	7946	58	10291	87	324	232	529	1034	165	2983	204	14	0	24	9	2253	199	1893	31	101	12	4854	7060	596	383	2048	965	122	16	0	47	445	0	14	7125	3168	13573	8838	580	0	0	17	43	0	690	2328	3541	0	4	4508	3454	12846	33208	22484	863	9335	4808	13328	9	4	699	256	6	4	0	5
ASV_5	0	2	14	0	296	421	0	1193	447	162	15	0	15	49	4761	12834	21	11	27	0	0	2533	7	15	0	0	0	0	2	1	0	0	0	8230	2	0	0	0	0	0	0	0	30	9	1385	10	121	118	0	0	0	720	1	0	79	333	0	0	0	0	0	0	1	0	0	5	66	28	0	0	0	0	2	0	20127	1545	13675	1	3	3	5	7	3	0	0	2	0	0	0	8276	0	103	0	152	5	8	1178	1	44	0	23	29	0	0	0	304	222	0	0	0	575	7044	0	0	0	0	10	19	0	0	0	10	119	1798	379	6153	32384	830	38104	4598	7782	0	2	50	1746	2002	866	0	0
ASV_6	0	0	8	0	75	67	0	76	10534	5935	8	0	36064	46745	2942	13430	1552	11154	7134	0	0	180	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	65	56	714	0	27926	5713	8	0	0	1978	0	0	0	18	1	0	0	0	0	0	0	0	0	14	50	46	21	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	18	6	22	0	14	0	32	10	0	0	0	93	160	0	0	0	13	6	0	0	0	0	0	23	0	0	0	1	42	29	63	268	1195	641	2131	461	124	0	0	33	0	316	181	0	0
ASV_7	4329	1849	0	0	74	0	0	14	173	1107	10416	38485	0	1277	463	824	1568	3086	124	0	1	0	0	6	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	2696	2728	978	38907	15217	7308	6001	0	7	0	0	0	0	0	0	0	0	66	1720	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	4	282	13	0	1620	0	0	0	0	0	0	0	0	0	0
ASV_8	675	1466	0	12	12	315	8	373	840	2250	541	137	402	239	3089	1151	25	53	56	609	477	1025	3915	3348	898	1373	1924	2595	575	2505	2307	447	185	1054	1525	1656	816	1589	1137	432	81	69	2	0	0	212	1009	1486	0	0	6	191	546	302	358	927	1269	1088	1786	2609	2021	1826	790	556	381	1425	1780	2853	98	127	364	39	37	273	388	864	576	2105	2462	1440	3360	2963	1865	2792	2539	1790	1871	2235	4253	763	224	2486	2268	1670	1144	677	21	0	1664	161	1864	1009	118	0	179	1746	1817	131	27	336	1481	3478	3411	876	3524	3109	1283	1888	454	0	2441	2625	63	18	135	110	231	79	187	59	404	163	1621	34	112	573	545	0	0
ASV_9	531	926	29	0	7	363	18	424	658	2032	257	578	709	507	2080	671	8	18	28	584	370	524	1478	1725	215	823	1473	1903	1449	2691	1909	287	175	687	924	1237	925	1016	727	1077	294	141	0	0	7	307	1042	1829	0	2	8	100	706	228	513	924	1304	1507	1489	1690	2083	1370	1561	587	978	1959	775	1703	100	209	364	36	40	199	542	1000	588	1262	1433	1292	3273	1873	2754	1940	1469	1697	1803	1588	2997	385	2314	1844	2052	1475	840	604	46	15	1234	141	1661	1473	382	81	1112	1546	1460	98	39	465	2681	3114	3406	777	2654	2508	556	2401	451	277	2691	2620	66	33	242	170	226	136	444	579	1041	270	1740	44	60	831	1595	0	6
ASV_10	513	901	20	0	7	354	5	504	594	1930	363	572	619	468	1801	574	0	15	21	565	419	814	1703	1553	432	908	1649	1828	1273	2310	1710	274	171	769	909	1238	889	1033	665	892	269	162	0	0	0	320	1007	1826	0	0	8	131	613	222	522	928	1326	1353	1474	1532	2004	1751	1650	604	899	1790	999	1631	92	257	383	30	48	155	807	940	555	1107	1227	1236	2918	1669	2522	1733	1521	1452	1554	1618	2681	591	2318	1641	2178	1328	897	576	32	24	1056	154	1615	1357	344	142	956	1357	1541	101	32	443	2529	2970	3128	793	2676	2552	538	2146	403	247	2677	2409	82	26	219	139	201	127	391	526	863	183	1557	35	68	763	1374	0	0
