x	MP_1804_P12_Ob	MP_1804_P12_VeA	MP_1804_P12_Ve	MP_1804_P22_ObB	MP_1804_P22_VeA	MP_1804_P22_Ve	MP_1804_P28_ObA	MP_1804_P28_ObB	MP_1804_P28_VeA	MP_1804_P28_Ve	MP_1804_P38_Ob	MP_1804_P38_Ve	MP_1804_P402_ObB	MP_1804_P402_Ve	MP_1804_P4_ObA	MP_1804_P4_ObB	MP_1804_P4_VeA	MP_1804_P4_Ve	MP_1804_P8_Ob	MP_1804_P8_VeA	MP_1804_P8_Ve	MP_1806_CA042_1B	MP_1806_CA042_2B	MP_1806_CA042_3B	MP_1807_P12_ObA	MP_1807_P12_VeA	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P28_ObA	MP_1807_P28_ObB	MP_1807_P28_VeA	MP_1807_P28_Ve	MP_1807_P38_VeB	MP_1807_P38_Ve	MP_1807_P402_ObB	MP_1807_P402_Ob	MP_1807_P402_Ve	MP_1807_P4_ObB	MP_1807_P4_VeA	MP_1807_P4_Ve	MP_1807_P8_ObB	MP_1807_P8_Ob	MP_1807_P8_Ve	MP_1809_P12_Ob	MP_1809_P12_Ve	MP_1809_P22_Ob	MP_1809_P22_Ve	MP_1809_P28_Ob	MP_1809_P28_Ve	MP_1809_P38_Ob	MP_1809_P38_Ve	MP_1809_P402_Ob	MP_1809_P402_Ve	MP_1809_P4_Ob	MP_1809_P4_Ve	MP_1809_P8_Ob	MP_1809_P8_Ve	MP_1904_P12_Ob	MP_1904_P12_Ve	MP_1904_P22_ObA	MP_1904_P22_ObB	MP_1904_P22_VeA	MP_1904_P22_VeB	MP_1904_P22_Ve	MP_1904_P28_Ve	MP_1904_P38_Ob	MP_1904_P38_VeA	MP_1904_P38_VeB	MP_1904_P38_Ve	MP_1904_P402_Ob	MP_1904_P402_Ve	MP_1904_P4_Ob	MP_1904_P4_VeB	MP_1904_P4_Ve	MP_1904_P8_Ob	MP_1904_P8_Ve	MP_1907_P12_ObB	MP_1907_P12_VeA	MP_1907_P12_Ve	MP_1907_P22_ObA	MP_1907_P22_ObB	MP_1907_P22_VeA	MP_1907_P22_Ve	MP_1907_P28_ObA	MP_1907_P28_VeA	MP_1907_P28_Ve	MP_1907_P38_ObA	MP_1907_P38_Ob	MP_1907_P38_VeA	MP_1907_P38_Ve	MP_1907_P402_ObB	MP_1907_P402_VeA	MP_1907_P402_Ve	MP_1907_P4_ObB	MP_1907_P4_Ve	MP_1907_P8_ObA	MP_1907_P8_Ob	MP_1907_P8_VeA	MP_1907_P8_Ve	MP_1909_CA042_1B	MP_1909_CA042_2B	MP_1909_CA042_3B	MP_1909_P12_ObA	MP_1909_P12_ObB	MP_1909_P12_VeA	MP_1909_P12_VeB	MP_1909_P12_Ve	MP_1909_P22_ObA	MP_1909_P22_ObB	MP_1909_P22_Ob	MP_1909_P22_VeA	MP_1909_P22_VeB	MP_1909_P28_ObA	MP_1909_P28_ObB	MP_1909_P28_VeA	MP_1909_P28_VeB	MP_1909_P28_Ve	MP_1909_P38_ObA	MP_1909_P38_ObB	MP_1909_P38_Ob	MP_1909_P38_VeA	MP_1909_P38_VeB	MP_1909_P38_Ve	MP_1909_P402_VeB	MP_1909_P402_Ve	MP_1909_P4_VeA	MP_1909_P4_VeB	MP_1909_P4_Ve	MP_1909_P8_ObA	MP_1909_P8_ObB	MP_1909_P8_Ob	MP_1909_P8_VeA	MP_1909_P8_VeB	MP_1909_P8_Ve	MP_2007_P12_ObA	MP_2007_P12_ObB	MP_2007_P12_VeA	MP_2007_P12_VeB	MP_2007_P22_ObB	MP_2007_P22_VeA	MP_2007_P28_ObA	MP_2007_P28_ObB	MP_2007_P28_VeA	MP_2007_P38_ObA	MP_2007_P38_ObB	MP_2007_P38_VeA	MP_2007_P38_VeB	MP_2007_P402_ObB	MP_2007_P402_VeB	MP_2007_P4_ObB	MP_2007_P4_VeB	MP_2007_P8_ObA	MP_2007_P8_ObB	MP_2007_P8_VeA	MP_2007_P8_VeB	MP_2009_P12_ObA	MP_2009_P12_VeA	MP_2009_P12_VeB	MP_2009_P22_ObB	MP_2009_P22_VeB	MP_2009_P28_ObA	MP_2009_P28_ObB	MP_2009_P28_VeA	MP_2009_P28_VeB	MP_2009_P38_ObB	MP_2009_P38_VeA	MP_2009_P38_VeB	MP_2009_P402_ObB	MP_2009_P402_VeA	MP_2009_P402_VeB	MP_2009_P4_ObB	MP_2009_P4_VeB	MP_2009_P8_ObB	MP_2009_P8_VeB	MP_2010_P105_ObA	MP_2010_P105_ObB	MP_2010_P105_VeA	MP_2010_P105_VeB	MP_2010_P123_ObA	MP_2010_P123_ObB	MP_2010_P123_VeA	MP_2010_P123_VeB	MP_2010_P132_ObB	MP_2010_P132_VeA	MP_2010_P132_VeB	MP_2010_P136_ObB	MP_2010_P136_VeA	MP_2010_P136_VeB	MP_2010_P22_ObB	MP_2010_P22_VeB	MP_2010_P28_ObA	MP_2010_P28_VeA	MP_2010_P28_VeB	MP_2010_P381_ObB	MP_2010_P381_VeA	MP_2010_P381_VeB	MP_2010_P7_ObB	MP_2010_P7_VeB	MP_Control2
ASV_1	7009	1004	190	43634	37279	26527	32864	24813	33006	33746	15904	13771	4000	5272	5972	16096	1452	18098	15126	1704	54198	4877	1312	1497	23	2	128	30663	29905	18196	30724	17246	104	39975	73	59	1054	41735	14	42671	51866	86488	37451	59	30	27960	19329	6194	6781	228	46	415	8484	18400	2821	3947	7310	7055	9596	11393	17349	3810	709	26215	65877	1677	2195	553	13519	8758	7668	48963	0	52775	70898	66544	2182	6	339	23746	21740	339	60703	5260	24099	31352	3934	853	84	1269	27	19	249	10290	36297	56653	11142	50517	23548	890	1123	343	30285	28395	786	1412	18435	29230	38901	63798	33954	12019	8404	5840	8304	17917	32502	4339	1896	32	0	3	3067	484	67575	17	8661	29236	38602	19224	24076	18896	27354	7451	123	182	78	74	29482	44225	47728	29552	28976	347	4621	19065	5350	16	11061	15746	26915	22958	18057	44750	43631	3355	3586	1506	95926	85615	21579	68063	38885	56153	1004	360	22348	5292	15	4604	25483	27841	37589	54147	29	8	368	26	4346	460	1077	2315	7716	2484	9118	4131	10099	19188	10381	15436	2783	48356	14717	18	16	18	30060	35196	1898
ASV_2	10685	552	378	27	151	541	928	406	308	527	108	11712	388	2658	115	149	28	533	450	72	725	49	30	13	35146	205	8999	489	18179	8961	8257	32018	8506	4526	1951	1076	4924	688	2117	12615	528	1210	9741	2766	189	243	2285	26859	6229	1173	268	2209	3249	11509	1899	951	413	4637	1120	37	4	0	2	653	483	230	7495	4891	5638	44	161	1327	1	564	291	526	8104	2599	11806	1130	1221	7268	3332	9983	10483	19706	3069	9904	2981	8067	315	42	315	5223	1985	5237	23071	5672	8417	94	227	152	6797	11070	3661	2805	4933	805	2592	3073	5849	1575	19755	24292	9999	14587	24531	40877	36916	58100	20068	16073	51453	195	1472	3	2296	6564	4905	3209	4964	1054	2396	1241	1832	2244	847	4062	82	259	2480	3765	921	4273	3844	1982	4429	8	127	180	71	2264	817	769	282	11307	4933	7252	465	303	14292	26515	8865	22721	2205	4815	7392	95	28	798	672	124	1239	3774	2076	622	2079	845	800	653	125	1290	216	262	855	301	408	1388	67	123	5916	10220	22244	2794	2175	2176	85	169	4
ASV_3	0	3	1	0	0	0	9	0	5	0	0	2	0	0	5	0	0	0	0	0	0	12756	10400	1751	50672	184	37288	1284	3054	0	2	0	49308	9419	17562	37169	58409	1	0	0	0	0	3	0	1	6	4	0	0	1	0	23924	4255	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	8	5	11141	2389	16705	0	0	0	3	50	0	0	18382	46611	14519	41225	33921	2291	61301	780	0	0	0	0	8	0	160	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	537	0	0	0	0	0	0	0	0	0	0	0	0	164	19	0	39	777	1393	4046	19312	0	0	533	165	0	10473	18226	37271	24760	3181	18054	5	0	14	286	0	2	18383	58591	16224	31	0	0	18	0	0	0	0	3	830	0	389	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	2	0	3	2	0	0	1	2	0	0	0	0
ASV_4	0	0	10	962	364	602	5	0	1	148	44	0	2	3	0	0	6	0	16	0	2	2268	480	383	0	0	121	14932	1109	408	1166	1119	0	62	2	0	0	320	1	57	147	108	454	147	22	9508	3565	538	79	97	0	37	3	0	0	0	0	0	129	3369	940	164	31	15	477	8	0	844	0	8	7	0	0	0	358	157	2	0	0	5145	2977	55	15467	17180	2539	6400	497	1071	401	3445	0	0	4	55	204	97	5853	11426	0	19	3	0	21204	13914	2480	2803	0	1781	1007	2497	2490	2524	5572	2002	93	0	8201	0	2	0	0	1	0	0	0	0	1	5	554	1	951	258	418	533	2	0	0	3	62	1521	8567	6210	853	138	417	2069	547	0	0	54	3	223	79	203	28	8176	2814	10389	434	811	0	0	0	0	27	2	0	0	0	0	0	0	38	46	4019	18662	12581	29757	38677	939	70444	51243	759	6936	26486	475	3987	4556	1	4212	1	105	83	40749	18	38016	190	654	0
ASV_5	3	5	34	2611	1067	1212	8340	4921	3542	2364	3382	20134	1685	5075	346	2514	178	6308	2601	508	7467	14	79	14	0	0	7	70	11	5	0	0	0	170	6	38	1724	744	2	112	414	367	1767	5	3	1816	0	0	0	3491	18	0	950	11869	1294	3658	4459	33	2459	492	0	149	16	273	3384	4258	2049	212	15925	477	665	10834	0	15486	1777	3836	0	0	5	306	169	0	0	0	0	6	303	0	493	223	45	0	1	528	2121	1	0	655	194	38	243	0	4062	2113	0	0	3	607	16978	1186	361	0	0	0	223	793	0	0	148	0	0	0	0	75	9312	0	2379	22163	1801	3563	2717	171	3257	484	19	609	0	0	0	76	782	914	0	0	0	546	42	0	1131	464	280	155	360	128	85	7559	4581	4439	2346	478	153	357	1441	3189	903	8	4437	25902	12	13283	294	7701	538	401	0	0	0	0	0	0	0	0	6	16	347	32	4304	10202	1157	337	0	911	419	0	0	0	1199	588	0
ASV_6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	229	51	14	0	0	0	161	0	21	2747	489	0	18555	0	0	0	433	62	397	128	159	996	0	2	0	24	0	3620	32509	0	0	0	0	147	859	1302	38	2	0	2	0	0	0	0	1	0	0	1	61	19	0	0	0	0	0	0	0	0	0	0	0	0	0	530	2638	1667	2271	15749	24034	0	0	0	478	304	1	0	0	0	9705	28785	49107	2233	0	0	0	0	2	0	2162	1315	0	0	1	0	0	0	0	0	15856	0	0	0	2	0	0	0	0	0	3245	499	46	29	37	411	270	895	2348	21	988	700	556	759	5725	1167	6585	1158	163	1959	12	104	2275	324	1954	91	1	0	0	207	20	1976	2720	193	412	8979	2170	4603	759	38	1025	50	680	100	0	0	0	12878	2776	5255	2260	510	1716	6	26	207	8741	7355	3953	282	425	0	29	34	0	0	0	0	114	0
ASV_7	0	0	0	0	0	0	281	3819	111	0	0	0	1261	2	0	0	0	1	0	3	0	18	6174	5513	0	0	0	713	0	441	0	0	1	0	28	3130	2726	0	0	0	91	980	0	0	0	0	3810	0	0	0	0	15193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	404	2	0	0	0	1	0	3736	0	0	0	0	0	0	0	0	540	0	4287	0	0	5695	0	1063	0	16690	24405	4125	0	0	0	0	2	7127	1224	13156	4	7	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	2959	1977	8327	0	0	0	0	6556	1283	0	30	0	0	0	0	0	0	1468	2096	0	2524	2299	1555	474	0	0	0	0	2781	0	0	1	0	6468	0	126	0	33	13548	0	0	14143	845	52855	19227	0	0	0	0	0	0	7	0	0	1915	2	0	10789	6838	63	81	0	0	149	2679	0	5357	0
ASV_8	0	0	0	0	0	0	0	0	0	0	28	8359	0	0	37	165	5298	0	0	0	0	1243	274	615	0	0	0	2014	2574	2894	0	0	0	5360	252	661	2094	699	0	46	144	25	943	0	0	9224	0	0	0	111	0	8134	0	0	0	0	0	2	0	0	0	0	0	0	0	265	3085	65	6917	623	1004	5382	0	0	0	0	0	0	0	7033	15802	0	7488	0	0	0	112	11378	1357	0	251	99	245	4802	248	0	0	0	0	6602	7116	3209	0	3	0	2	0	357	0	0	3863	0	127	0	0	0	0	2	0	40	0	0	0	0	0	0	0	0	0	0	0	1348	747	278	0	0	0	0	0	0	0	0	0	19665	10406	11170	6646	47	2203	2103	340	2966	2242	1523	336	0	0	0	0	0	2	0	0	0	204	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	11980	15264	44768	0	0	0	0	4876	0	29	1424	0	14	0	5030	11168	0	5218	0	0	0	0	0	0	4205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	59	0	0	0	0	0	653	0	0	0	0	0	0	70746	1085	0	0	0	0	0	0	5	0	1	0	50	0	849	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	716	68	0	0	6	3	0	2	0	0	1	432	3477	0	1	0	0	0	0	0	4	71	0	0	0	5	0	0	0	0	1	0	3	15	14	0	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1643	0	263	0	157	0	0	0	0	0	0	0	0	206	11	321	20375	53924	0	0	3	2	2	0	0	0	0	0	1	0	0	0	3	0	2	0	4	214	9239	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	18815	2167	0	0	0	0	0	0	0	0	0	2847	152	1	0	0	0	0	1	0	29	5	5438	128	5717	2885	2	52	0	0	0	0	0	0	0	19	0	0	0	0	0	75	0	0	23566	0	1	993	3303	0	2	0	0	0	0	0	0	0	0	0	0	0	1755	0	3	1	0	225	0	0	0	0	0	0	91	0
