x	MP_1804_P12_Ve	MP_1804_P12_Ob	MP_1804_P8_Ob	MP_1807_P12_Ob	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P22_Ob	MP_1807_P28_Ve	MP_1807_P28_Ob	MP_1807_P38_Ve	MP_1807_P4_Ob	MP_1807_P4_Ve	MP_1804_P22_Ve	MP_1807_P402_Ve	MP_1807_P402_Ob	MP_1807_P8_Ve	MP_1807_P8_Ob	MP_1809_P12_Ve	MP_1809_P12_Ob	MP_1809_P22_Ve	MP_1809_P22_Ob	MP_1809_P28_Ve	MP_1809_P28_Ob	MP_1809_P38_Ve	MP_1809_P38_Ob	MP_1809_P4_Ve	MP_1804_P22_Ob	MP_1809_P4_Ob	MP_1809_P402_Ve	MP_1809_P402_Ob	MP_1809_P8_Ve	MP_1809_P8_Ob	MP_1904_P12_Ve	MP_1904_P12_Ob	MP_1904_P22_Ve	MP_1904_P22_Ob	MP_1804_P28_Ve	MP_1904_P28_Ve	MP_1904_P28_Ob	MP_1904_P38_Ve	MP_1904_P38_Ob	MP_1904_P4_Ve	MP_1904_P4_Ob	MP_1904_P402_Ve	MP_1904_P402_Ob	MP_1904_P8_Ve	MP_1904_P8_Ob	MP_1804_P28_Ob	MP_1907_P12_Ve	MP_1907_P22_Ve	MP_1907_P22_Ob	MP_1907_P28_Ve	MP_1907_P28_Ob	MP_1907_P38_Ve	MP_1907_P38_Ob	MP_1804_P38_Ve	MP_1907_P4_Ve	MP_1907_P4_Ob	MP_1907_P402_Ve	MP_1907_P402_Ob	MP_1907_P8_Ve	MP_1907_P8_Ob	MP_1909_P12_Ve	MP_1909_P12_Ob	MP_1909_P22_Ve	MP_1909_P22_Ob	MP_1909_P28_Ve	MP_1909_P28_Ob	MP_1909_P38_Ve	MP_1909_P38_Ob	MP_1909_P4_Ve	MP_1804_P38_Ob	MP_1909_P4_Ob	MP_1909_P402_Ve	MP_1909_P402_Ob	MP_1909_P8_Ve	MP_1909_P8_Ob	MP_2007_P12_Ve	MP_2007_P12_Ob	MP_2007_P22_Ve	MP_2007_P28_Ve	MP_2007_P28_Ob	MP_2007_P38_Ve	MP_1804_P4_Ve	MP_2007_P38_Ob	MP_2007_P4_Ve	MP_2007_P4_Ob	MP_2007_P402_Ve	MP_2007_P402_Ob	MP_2007_P8_Ve	MP_2007_P8_Ob	MP_2010_P105_Ve	MP_2010_P105_Ob	MP_2010_P123_Ve	MP_1804_P4_Ob	MP_2010_P123_Ob	MP_2010_P132_Ve	MP_2010_P132_Ob	MP_2010_P136_Ve	MP_2010_P136_Ob	MP_2010_P22_Ve	MP_2010_P22_Ob	MP_2010_P28_Ve	MP_2010_P28_Ob	MP_2010_P381_Ve	MP_1804_P402_Ve	MP_2010_P381_Ob	MP_2010_P7_Ve	MP_2010_P7_Ob	MP_2009_P12_Ve	MP_2009_P12_Ob	MP_2009_P22_Ve	MP_2009_P22_Ob	MP_2009_P28_Ve	MP_2009_P28_Ob	MP_2009_P38_Ve	MP_2009_P38_Ob	MP_2009_P4_Ve	MP_2009_P4_Ob	MP_2009_P402_Ve	MP_2009_P402_Ob	MP_2009_P8_Ve	MP_1804_P402_Ob	MP_2009_P8_Ob	MP_1804_P8_Ve
ASV_5799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000397429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0.00527929	0.00072299	0.093864739	0.00156778	0	0.027710907	0.001095775	0.009611337	0	0.037015486	0.167947544	0.127820089	0.02642909	0.003867765	0.000604013	0.203338963	0.039471555	0	0	0.02389473	0.005369381	0.011276777	0	0.012194836	0.000912351	0.06221223	0.007049224	0.042887763	0.01692822	0	0.010734645	0.002183807	0.012660598	0.003268235	0.026585996	0.016534405	0.069129788	0.050941931	0.039301282	0.030376407	0.011218141	0.65751025	0.107778302	0.340743527	0.16326786	0.161555094	0.145635242	0.104008935	0.003065483	0.007523654	0.014880203	0.00635649	0	0.001066587	0	0.392225593	0.057526047	0.01130097	0.004103054	0.000874847	0.008481716	0	0	0.001047161	0.019833102	0.004222971	0.010543298	0	0.004090272	0.000131499	0.053429131	0.446053669	0.037014142	0.081350364	0.002755852	0.004735873	0.008728444	0	0	0.028206426	0	0.0053185	0	0.346209204	0.003694627	0.05432207	0.03540096	0.021181325	0.029477688	0.814542541	0.019379825	0	0	0.020363049	0.050854398	0.000609523	0.013543857	0.004555869	0.001278521	0.00232869	0.006544	0.000541296	0.01934261	0	0	0.01265854	0.001812635	0.008708004	0.008754414	0.000938914	0.00010752	0.214013422	0.063305841	0.071455639	0.019605242	0.01935112	0.0005751285	0.15294283	0.046253663	0.01266135	0.01107421	0.167488653	0.005705188	0.086285922	0.2231498
ASV_85	0.2612663	0.036739207	0	0.03284322	0	0	0	0	0	0.131167735	2.256102206	8.768121294	0	0.648497153	0.066669017	0.728018939	0	0	0.033417185	0.43096302	0	0	0	0.722331774	0.045891365	7.426163078	0	0.426810946	2.317296662	0.047235691	0.214795159	0	0.644385495	0.070275994	0	0	0.141381638	0.056063626	0	0.156830292	0	0.365888947	0	6.672595364	0.489976136	0.81249	0	0	0	0.026407492	0	0	0	0.092447012	0	1.131224686	1.892876411	0.037200412	0.183452646	0.05701757	0	0	0.029221403	0.072144783	0	0	0	0	0.137160851	0	1.842534583	0.014545424	0.166277531	2.89492271	0.230601816	0	0.095682596	0.226526419	0	0.049084412	0	0	0.602589421	0.209422885	0	0.619723196	0.049339764	1.02421253	3.198611371	0.240492959	0	0.031845423	0	0.001075575	0.031457217	0	0.013057213	0	0.070979983	0.007157614	0.037172578	0	0.010660631	0	0.004574334	0.213931009	0	0.04142633	0	0.004198001	0.031211508	0.227300735	0.029901199	0.234738105	0	2.812433403	0.035215069	5.082586254	0.52247377	0.202180241	0	0.585240023	0.116554476	0	0.161285684
ASV_87	0.020883788	0	0	0	0.333481286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014985423	0	0	0	0	0	0	0.049081479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344736994	0	0	0	0.084920611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150372335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004894743	0	0	0	0	0	0	0	0.001823995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001151413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008929929	0	0.00577161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1580	0	0	0	0	0	0	0	0	0	0	0	1.017878943	0	0.063185833	0	0.1202807	0	0	0	0	0	0	0	0	0	0.040463092	0	0	0	0	0	0	0.028909609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.209557385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082103291	0	0	0	0	0	0.031845423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.66599813	0	0	0	0	0	0.237073245	0.012067299	0	0	4.635566307	0	0	0
ASV_7827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.344227607	0	0.002285586	0	0	0	0
ASV_306	0	0	0	0	0	0	0	0	0	0	0	0.038863765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7011e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78374e-11	0	0	0	0	0
ASV_7	0.004580965	0.001621871	0.008822345	0	0.008320981	0.009713025	0.000682814	0	0	0.007312258	0.030412297	0.058238338	0	0.014460808	0.009033146	0	0	0	0	0	0	0	0	0	0	0.018520893	0	0.02073952	0	0	0	0	0.003308149	0.004603452	0.007599013	0	0.004044603	0.009376202	0	0	0	0.081589408	0.008297265	0.555487875	0.305032816	0.002571322	0.006748104	0	0	0.00604366	0	0	0	0.003173635	0.018535613	0.011465967	0.000922737	0.00196859	0	0	0	0	0.006687656	0	0	0	0	0	0	0	0.01304881	0.009976224	0.033314426	0	0	0	0	0	0	0	0	0	0	0.071893271	0	0.009395144	0.00608959	0.007919278	0.017818401	0.002417464	0	0	0	0	0.028475408	0	0.00895551	0	0	0	0	0	0	0	0.00647535	0.09302392	0	0	0	0	0	0	0	0.048902167	0.00630946	0.009899098	0.002014091	0.045214127	0.022093927	0	0	0	0.244590527	0	0
