x	MP_1804_P12_Ve	MP_1804_P12_Ob	MP_1804_P8_Ob	MP_1807_P12_Ob	MP_1807_P12_Ve	MP_1807_P22_Ve	MP_1807_P22_Ob	MP_1807_P28_Ve	MP_1807_P28_Ob	MP_1807_P38_Ve	MP_1807_P4_Ob	MP_1807_P4_Ve	MP_1804_P22_Ve	MP_1807_P402_Ve	MP_1807_P402_Ob	MP_1807_P8_Ve	MP_1807_P8_Ob	MP_1809_P12_Ve	MP_1809_P12_Ob	MP_1809_P22_Ve	MP_1809_P22_Ob	MP_1809_P28_Ve	MP_1809_P28_Ob	MP_1809_P38_Ve	MP_1809_P38_Ob	MP_1809_P4_Ve	MP_1804_P22_Ob	MP_1809_P4_Ob	MP_1809_P402_Ve	MP_1809_P402_Ob	MP_1809_P8_Ve	MP_1809_P8_Ob	MP_1904_P12_Ve	MP_1904_P12_Ob	MP_1904_P22_Ve	MP_1904_P22_Ob	MP_1804_P28_Ve	MP_1904_P28_Ve	MP_1904_P28_Ob	MP_1904_P38_Ve	MP_1904_P38_Ob	MP_1904_P4_Ve	MP_1904_P4_Ob	MP_1904_P402_Ve	MP_1904_P402_Ob	MP_1904_P8_Ve	MP_1904_P8_Ob	MP_1804_P28_Ob	MP_1907_P12_Ve	MP_1907_P22_Ve	MP_1907_P22_Ob	MP_1907_P28_Ve	MP_1907_P28_Ob	MP_1907_P38_Ve	MP_1907_P38_Ob	MP_1804_P38_Ve	MP_1907_P4_Ve	MP_1907_P4_Ob	MP_1907_P402_Ve	MP_1907_P402_Ob	MP_1907_P8_Ve	MP_1907_P8_Ob	MP_1909_P12_Ve	MP_1909_P12_Ob	MP_1909_P22_Ve	MP_1909_P22_Ob	MP_1909_P28_Ve	MP_1909_P28_Ob	MP_1909_P38_Ve	MP_1909_P38_Ob	MP_1909_P4_Ve	MP_1804_P38_Ob	MP_1909_P4_Ob	MP_1909_P402_Ve	MP_1909_P402_Ob	MP_1909_P8_Ve	MP_1909_P8_Ob	MP_2007_P12_Ve	MP_2007_P12_Ob	MP_2007_P22_Ve	MP_2007_P28_Ve	MP_2007_P28_Ob	MP_2007_P38_Ve	MP_1804_P4_Ve	MP_2007_P38_Ob	MP_2007_P4_Ve	MP_2007_P4_Ob	MP_2007_P402_Ve	MP_2007_P402_Ob	MP_2007_P8_Ve	MP_2007_P8_Ob	MP_2010_P105_Ve	MP_2010_P105_Ob	MP_2010_P123_Ve	MP_1804_P4_Ob	MP_2010_P123_Ob	MP_2010_P132_Ve	MP_2010_P132_Ob	MP_2010_P136_Ve	MP_2010_P136_Ob	MP_2010_P22_Ve	MP_2010_P22_Ob	MP_2010_P28_Ve	MP_2010_P28_Ob	MP_2010_P381_Ve	MP_1804_P402_Ve	MP_2010_P381_Ob	MP_2010_P7_Ve	MP_2010_P7_Ob	MP_2009_P12_Ve	MP_2009_P12_Ob	MP_2009_P22_Ve	MP_2009_P22_Ob	MP_2009_P28_Ve	MP_2009_P28_Ob	MP_2009_P38_Ve	MP_2009_P38_Ob	MP_2009_P4_Ve	MP_2009_P4_Ob	MP_2009_P402_Ve	MP_2009_P402_Ob	MP_2009_P8_Ve	MP_1804_P402_Ob	MP_2009_P8_Ob	MP_1804_P8_Ve
ASV_5799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036664284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	8.151952584	2.405136237	149.14623218	5.215455505	0	92.18449101	3.645260952	9.663340175	0	78.07417589	508.72339797	345.45570715	28.948488998	12.86670099	2.009341217	563.34088994	90.33896657	0	0	70.452859394	17.86205277	14.774104048	0	40.5679523	3.035071011	168.9119681	7.52492068	110.71962274	42.347250552	0	10.79272562	4.105353042	35.321648487	6.1439763	33.80662594	23.060143618	84.57039852	66.74082483	45.255356922	93.830636152	37.31882954	1370.2360355	230.70640422	1080.45983309	458.45794369	231.0747587	184.12932541	106.902736206	10.19779021	18.821000251	49.50122924	10.69711315	0	2.823785012	0	1045.7050211	172.413794804	31.528437709	13.64942584	2.91031059	17.889888335	0	0	1.052827185	47.644574064	7.938791919	10.6003437	0	13.60690369	0.437450472	150.93463775	1207.2014753	112.327445322	270.6241984	9.167755302	4.761496858	15.095654742	0	0	93.83291011	0	9.998282346	0	511.7441383	12.29072989	142.1107673	67.72869535	70.46285651	76.099991783	1145.3922127	41.60148468	0	0	20.4732251	61.93337765	0.612821315	35.857289779	12.710363902	4.253192685	7.746736165	10.104837924	1.800703606	24.289743606	0	0	26.699773822	1.822442843	19.817677351	20.692293325	3.123438394	0.357680631	666.04536829	206.148302651	87.02273921	39.29749607	44.039285324	0.672024253	434.48275865	142.523197519	42.11988179	36.30275375	406.87621798	18.97916449	247.61657562	312.0061804
ASV_85	24.455857986	0.50507861	0	0.040745746	0	0	0	0	0	6.506181324	124.47487393	656.36583	0	32.16675247	10.04670608	61.23270542	0	0	1.877424977	27.39833421	0	0	0	45.07550255	2.276303258	383.1417812	0	23.06658807	114.9425372	0.907977238	16.189088431	0	48.56726667	6.163176226	0	0	14.39496143	2.780867702	0	9.383063615	0	18.14882167	0	425.2873812	95.63432704	75.499673623	0	0	0	2.688714321	0	0	0	9.412616708	0	56.11100113	114.94252986	7.882109428	9.099617224	1.455155295	0	0	2.975216442	1.131789224	0	0	0	0	6.803451845	0	150.93464045	4.438240717	18.72124089	161.50153771	12.04904983	0	6.038261897	53.58626329	0	13.34117155	0	0	58.66285381	21.32267243	0	195.05399434	5.418295628	149.3812558	158.779461974	145.1905622	0	3.24238452	0	0.014623732	1.407576765	0	3.984143309	0	17.01277074	2.582245388	4.631384049	0	0.021687271	0	0.384102046	13.349887216	0	4.062623858	0	0.208229226	0.013413024	159.71834201	11.5597179	65.26705441	0	202.58071249	1.881667907	305.7471264	39.316744148	10.02854328	0	99.82029882	17.71388686	0	12.156084952
ASV_87	0.030569823	0	0	0	0.222111181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041198041	0	0	0	0	0	0	0.117738828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095785444	0	0	0	0.039669553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031234384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110739074	0	0	0	0	0	0	0	0.011601851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014857673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115230614	0	0.153768615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1580	0	0	0	0	0	0	0	0	0	0	0	103.6367124	0	6.433350493	0	12.24654108	0	0	0	0	0	0	0	0	0	4.119804099	0	0	0	0	0	0	2.943470707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.1527106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.359456902	0	0	0	0	0	3.24238452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984.156589	0	0	0	0	0	24.13793103	1.228648255	0	0	471.9764129	0	0	0
ASV_7827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.3133717	0	0.23270996	0	0	0	0
ASV_306	0	0	0	0	0	0	0	0	0	0	0	86.36392318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148913398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.005708657	0	0	0	0	0
ASV_7	4.075976292	1.443081742	7.849801694	0	7.403706019	8.642296032	0.607543492	0	0	6.506181324	27.05975521	51.81835477	0	12.86670099	8.037364867	0	0	0	0	0	0	0	0	0	0	16.4792164	0	18.45327046	0	0	0	0	2.943470707	4.0959842	6.761325189	0	3.598740356	8.342603105	0	0	0	72.59528667	7.382604936	494.2529025	271.4071026	2.287868898	6.004217134	0	0	5.377428642	0	0	0	2.823785013	16.4923143	10.20200021	0.82101807	1.751579873	0	0	0	0	5.950432883	0	0	0	0	0	0	0	11.61035675	8.876481433	29.64196474	0	0	0	0	0	0	0	0	0	0	63.96801729	0	8.359456902	5.418295628	7.046285651	15.85416495	2.150971291	0	0	0	0	25.33638177	0	7.968286618	0	0	0	0	0	0	0	5.761530688	82.76929943	0	0	0	0	0	0	0	43.51136961	5.613928011	8.807857064	1.792064674	40.22988506	19.65837208	0	0	0	217.6277529	0	0
