x	MP_1804_P22_v_BSsG	MP_1804_P4_v_BSsG	MP_1804_P8_o_BSsG	MP_1804_P28_v_BSsG	MP_1804_P38_o_BSsG	MP_1804_P402_v_BSsG	MP_1804_P12_v_BSsG	MP_1809_P22_v_BSsG	MP_1809_P8_o_BSsG	MP_1809_P38_o_BSsG
ASV_1	0.995588475573226	0.49350684088751	4.18520984452932	5.56554651722047	10.5755636580103	0.202056285513346	13.7102237089693	1.03763244428206	5.95084853596106	47.8420633339972
ASV_10	0	0	0	0	20.1400773867103	0	0	0	0	0
ASV_1000	0	0	0	0.00522782877815186	0	0	0	0	0.0251527660644799	0
ASV_1002	0.0174282446489843	0	0	0.0146379205788252	0.0232532182454052	0	0	0	0	0
ASV_1003	0	0.0213986706075885	0	0	0	0.083724980185088	0	0	0	0
ASV_1004	0	0	0.0619079323918655	0	0	0.00334899920740352	0.0225799707296676	0	0	0
ASV_1005	0	0.12170493908066	0.151849645489481	0	0	0.00893066455307606	0	0.725507594342085	0.116886383476112	0.339573790081657
ASV_1006	0.714558030608355	0	0.0467229678429174	1.02047217749524	0.0241833469752214	0	0	0	0	0
ASV_1008	0.00326779587168455	0.0468095919540999	0.400649449253017	0.753852909809498	0.116266091227026	22.6749573002601	11.4371733221827	0.899838196148024	0.446831491263113	15.9141605257917
ASV_1010	0.271227057349818	0	0	0.135923548231948	0	0	0	0.0981262070045409	0	0.0238996215893248
ASV_1011	0	0	0	0.00836452604504297	0.00744102983852965	0	0	0	0	0
ASV_1012	0.570775012254235	16.6842759893542	0.0560675614115009	9.01486794504506	0.314383510677878	0.0937719778072986	0.132970938741376	0.0595020616942429	2.40578809534378	0.236008763194583
ASV_1015	0	0	0	0	0	0	0	0.00313168745759173	0.0192344681669552	0
ASV_1016	0	0.0133741691297428	0	0	0	0.0111633306913451	0	0.093950623727752	1.56982851731842	0.0965943039235212
ASV_1017	0.528293665922335	0.0160490029556914	0.122647790587658	0.0386859329583237	0.0139519309472431	0	0	0.0271412912991283	0.0236731915900987	0
ASV_1019	0.0163389793584227	0	0	0	0	0	0	0	0	0
ASV_1020	0	0.0200612536946142	0	0	0	0	0.0100355425465189	0	0.0488259576545785	0
ASV_1021	0.00435706116224607	0.0106993353037943	0.304867365175036	0.0073189602894126	0	0	0	0.00626337491518346	0	0
ASV_1022	2.01623005282937	2.64541065386313	4.34874023197954	7.1433052424667	9.80355681226282	0.0680963172172049	0.027597742002927	0.545957513440159	0.00591829789752467	0.00398327026488747
ASV_1025	0.031588693426284	0	0.0327060774900422	0.0397314987139541	0.0372051491926483	0.0569329865258599	0.0359606941250261	0.0313168745759173	0	0.0129456283608843
ASV_1026	0.0152497140678612	0.0829198486044054	0.0876055647054701	1.09993517492315	0	0.0223266613826901	0.0669036169767928	0.0459314160446787	0	0.0119498107946624
ASV_1027	0	0	0	0.0219568808682378	0	0	0.0125444281831487	0	0	0
ASV_1028	0	0	0	0	0	0	0.0125444281831487	0	0	0
ASV_1029	0	0	0.00817651937251054	0	0	0	0	0	0	0.0547699661422027
ASV_103	0	0.906768666996563	0	0.660797557558395	0.417627799687477	0	0	0	0	0
ASV_1030	0.0718915091770601	0	0	0	0	0	0	0	0	0
ASV_1031	0.0239638363923534	0.0187238367816399	0.0630760065879385	0.0752807344053868	0.0548775950591562	3.38360553254669	2.86347480660673	0	0	0.0507866958773153
ASV_1032	0	0.0187238367816399	0	0	0	0	0	0	0	0
ASV_1035	0	0	0	0.0146379205788252	0.0167423171366917	0	0.0326155132761865	0.00417558327678898	0.00739787237190584	0.00995817566221868
ASV_1037	0	0.0842572655173797	0.00467229678429174	0.0104556575563037	0.00465064364908103	0	0.0200710850930378	0	0	0
ASV_1039	0	0	0	0	0	0	0	0.0146145414687614	0	0
ASV_104	0	0	0	0	0	0	0.914906962157642	0	0	0
ASV_1041	0	0	0	0	0	0	0	0.0146145414687614	0	0
ASV_1042	0	0	0	0.00313669726689111	0	0	0	0.0240096038415366	0	0
ASV_1043	0	0	0	0	0	0	0	0	0.0236731915900987	0
ASV_1044	0	0	0	0	0	0	0	0	0.0207140426413364	0
ASV_1046	0.0501062033658298	0	0.00934459356858348	0	0	0	0	0	0	0
ASV_1047	0.00326779587168455	0.0227360875205628	0.171706906822721	0	0	0	0	0	0	0
ASV_1048	0	0	0.0151849645489481	0	0	0	0	0	0	0
ASV_1049	0	0	0.0151849645489481	0	0	0	0	0	0	0.00398327026488747
ASV_1050	0	0	0.0151849645489481	0	0	0	0	0	0	0
ASV_1053	0	0	0	0.0135923548231948	0	0	0	0	0	0
ASV_1054	0	0	0	0.0135923548231948	0	0	0	0	0	0
ASV_1055	0	0	0	0	0.0120916734876107	0	0	0	0	0
ASV_1056	0	0	0	0	0.0120916734876107	0	0	0	0	0
ASV_1058	0	0	0.00233614839214587	0	0.0344147630031996	0.0156286629678831	0	0.197296309828279	0.739787237190584	0.164309898426608
