x	MP_1804_P22_v_BSsG	MP_1804_P4_v_BSsG	MP_1804_P8_o_BSsG	MP_1804_P28_v_BSsG	MP_1804_P38_o_BSsG	MP_1804_P402_v_BSsG	MP_1804_P12_v_BSsG	MP_1809_P22_v_BSsG	MP_1809_P8_o_BSsG	MP_1809_P38_o_BSsG
ASV_1	914	369	3583	5323	11370	181	16394	994	4022	48043
ASV_10	0	0	0	0	21653	0	0	0	0	0
ASV_1000	0	0	0	5	0	0	0	0	17	0
ASV_1001	23563	4449	260	29601	385	61	145	274	311	1008
ASV_1002	16	0	0	14	25	0	0	0	0	0
ASV_1003	0	16	0	0	0	75	0	0	0	0
ASV_1004	0	0	53	0	0	3	27	0	0	0
ASV_1005	0	91	130	0	0	8	0	695	79	341
ASV_1006	656	0	40	976	26	0	0	0	0	0
ASV_1008	3	35	343	721	125	20312	13676	862	302	15981
ASV_1010	249	0	0	130	0	0	0	94	0	24
ASV_1011	0	0	0	8	8	0	0	0	0	0
ASV_1012	524	12475	48	8622	338	84	159	57	1626	237
ASV_1015	0	0	0	0	0	0	0	3	13	0
ASV_1016	0	10	0	0	0	10	0	90	1061	97
ASV_1017	485	12	105	37	15	0	0	26	16	0
ASV_1019	15	0	0	0	0	0	0	0	0	0
ASV_1020	0	15	0	0	0	0	12	0	33	0
ASV_1021	4	8	261	7	0	0	0	6	0	0
ASV_1022	1851	1978	3723	6832	10540	61	33	523	4	4
ASV_1025	29	0	28	38	40	51	43	30	0	13
ASV_1026	14	62	75	1052	0	20	80	44	0	12
ASV_1027	0	0	0	21	0	0	15	0	0	0
ASV_1028	0	0	0	0	0	0	15	0	0	0
ASV_1029	0	0	7	0	0	0	0	0	0	55
ASV_103	0	678	0	632	449	0	0	0	0	0
ASV_1030	66	0	0	0	0	0	0	0	0	0
ASV_1031	22	14	54	72	59	3031	3424	0	0	51
ASV_1032	0	14	0	0	0	0	0	0	0	0
ASV_1035	0	0	0	14	18	0	39	4	5	10
ASV_1037	0	63	4	10	5	0	24	0	0	0
ASV_1039	0	0	0	0	0	0	0	14	0	0
ASV_104	0	0	0	0	0	0	1094	0	0	0
ASV_1041	0	0	0	0	0	0	0	14	0	0
ASV_1042	0	0	0	3	0	0	0	23	0	0
ASV_1043	0	0	0	0	0	0	0	0	16	0
ASV_1044	0	0	0	0	0	0	0	0	14	0
ASV_1046	46	0	8	0	0	0	0	0	0	0
ASV_1047	3	17	147	0	0	0	0	0	0	0
ASV_1048	0	0	13	0	0	0	0	0	0	0
ASV_1049	0	0	13	0	0	0	0	0	0	4
ASV_1050	0	0	13	0	0	0	0	0	0	0
ASV_1053	0	0	0	13	0	0	0	0	0	0
ASV_1054	0	0	0	13	0	0	0	0	0	0
ASV_1055	0	0	0	0	13	0	0	0	0	0
ASV_1056	0	0	0	0	13	0	0	0	0	0
ASV_1058	0	0	2	0	37	14	0	189	500	165
ASV_106	2732	196	341	6011	2361	44	271	1438	1110	56
ASV_1060	79	1572	85	28	140	17	1512	56	462	96
ASV_1061	0	0	0	0	0	0	0	0	0	13
ASV_1062	50	10	68	36	37	0	0	0	0	0
ASV_1063	12	0	0	0	0	0	0	0	0	0
ASV_1066	0	4	0	0	6	2	0	0	0	0
ASV_1067	0	22	107	0	0	0	0	0	0	0
ASV_107	0	0	0	3	91	1	0	16	0	944
ASV_1070	0	1566	4	12	3	2148	119	55	0	0
ASV_1071	17	0	0	1058	0	0	0	0	0	0
ASV_1073	0	5	0	0	12	0	0	0	0	0
ASV_1074	0	0	0	0	0	12	0	0	0	0
ASV_1078	0	0	0	0	3	0	0	0	12	0
ASV_108	30	462	1096	0	0	0	692	0	0	0
ASV_1080	0	11	0	0	0	0	0	0	0	0
ASV_1082	0	320	14	23	232	0	50	8	0	0
ASV_1083	0	80	11	0	0	40	0	0	0	0
ASV_1084	0	28	17	0	0	0	0	0	11	1
ASV_1086	4	0	0	11	0	0	0	42	9	0
ASV_1088	0	0	48	0	11	0	0	0	0	0
ASV_109	22436	110	16739	4489	484	5	898	48684	3379	0
ASV_1091	0	0	2982	13	50	0	468	0	13	0
ASV_1093	10	0	0	0	0	0	0	0	0	0
ASV_1094	10	0	0	0	0	0	0	0	0	0
ASV_1096	80	0	10	0	0	0	0	81	0	0
ASV_1097	52	232	421	762	2338	62	8	42	105	42
ASV_1098	14	4	36	16	237	8	0	0	0	0
ASV_1099	0	0	0	124	0	0	0	0	0	0
ASV_11	607	2118	3943	2879	2380	0	0	7065	2253	0
ASV_110	0	0	0	0	10	0	1021	0	0	0
ASV_1103	0	0	0	0	10	0	0	0	0	0
ASV_1104	204	161	94	181	10	1213	173	1652	555	94
ASV_1105	6	0	9	27	12	0	0	0	24	0
ASV_1106	0	0	0	0	0	7	3	0	0	0
ASV_1107	0	55	26	0	18	0	10	0	0	0
ASV_1109	0	0	0	0	0	0	0	10	0	0
ASV_1110	0	0	0	0	0	0	0	10	0	0
ASV_1111	0	0	13	105	35	30	0	10	6435	687
ASV_1112	0	0	0	0	0	0	0	10	148	0
ASV_1113	0	0	0	0	8	0	0	0	18	2
ASV_1115	404	0	7	0	0	0	0	89	0	10
ASV_1116	9	0	0	0	0	0	0	0	0	0
ASV_1118	9	12	70	0	1	1107	412	40	0	0
ASV_1119	0	0	9	0	0	0	0	0	0	0
ASV_1120	70	46	43	539	11	0	54	0	0	0
ASV_1124	0	0	0	36	0	0	0	21	0	0
ASV_1128	0	0	0	0	9	0	0	0	0	0
ASV_1129	0	0	0	0	17	0	14	0	0	6
ASV_113	83	2571	2539	2356	9976	81	40	34	0	367
ASV_1134	0	0	0	0	0	0	0	9	0	0
ASV_1135	0	0	0	0	0	0	0	0	0	9
ASV_1137	8	0	0	0	0	0	0	0	0	0
ASV_114	0	264	43	0	459	483	42	0	0	0
ASV_1142	0	8	0	124	0	0	0	0	0	0
ASV_1144	0	0	8	0	0	0	0	0	0	0
ASV_1147	87	0	8	0	0	0	0	0	0	0
ASV_1148	49	0	11	5	0	3	19	6009	279	210
ASV_1149	6	17	0	8	2	275	40	0	0	0
ASV_1153	38	0	6	79	9	36760	6810	0	0	0
ASV_1154	0	0	0	0	8	0	0	0	0	0
