ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Eukaryota,Mollusca,Gastropoda,Acteonidae__o,NA,NA,NA
ASV_10,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius productus
ASV_101,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_102,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_103,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,NA
ASV_104,Eukaryota,Mollusca,Gastropoda,NA,NA,NA,NA
ASV_106,Eukaryota,Chordata,Actinopteri,Perciformes,NA,NA,NA
ASV_107,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_108,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus
ASV_109,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV_11,Eukaryota,Arthropoda,Insecta,Coleoptera,NA,NA,NA
ASV_110,Eukaryota,Mollusca,Gastropoda,Cephalaspidea,NA,NA,NA
ASV_111,Eukaryota,Echinodermata,Echinoidea,Clypeasteroida,Taiwanasteridae,NA,NA
ASV_112,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,NA,NA
ASV_113,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_114,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_115,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_116,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_117,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,NA
ASV_118,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Menesiniella,Menesiniella aquila
ASV_119,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_12,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Coryphellidae,Coryphella,Coryphella verrucosa
ASV_120,Eukaryota,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus droebachiensis
ASV_121,Eukaryota,Annelida,Polychaeta,Spionida,NA,NA,NA
ASV_122,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,NA,NA,NA
ASV_123,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Semibalanus,Semibalanus cariosus
ASV_124,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,NA
ASV_125,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_126,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,NA,NA,NA
ASV_127,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne spinifera
ASV_128,Eukaryota,Mollusca,Gastropoda,Limapontiidae__o,Limapontiidae,Olea,Olea hansineensis
ASV_129,Eukaryota,Mollusca,Gastropoda,Neogastropoda,NA,NA,NA
ASV_131,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_133,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_134,Eukaryota,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinoma,Lucinoma borealis
ASV_135,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,NA,NA,NA
ASV_136,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,NA,NA
ASV_137,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_138,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_139,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_14,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_141,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_142,Eukaryota,Phoronida,Phoronopsis__f__o__c,Phoronopsis__f__o,Phoronopsis__f,Phoronopsis,Phoronopsis harmeri
ASV_143,Eukaryota,Mollusca,Gastropoda,Limapontiidae__o,Limapontiidae,Olea,Olea hansineensis
ASV_144,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,NA,NA
ASV_145,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_146,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Diaphorodoris,Diaphorodoris lirulatocauda
ASV_147,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_148,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_149,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,NA,NA
ASV_150,Eukaryota,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ASV_151,Eukaryota,Echinodermata,Echinoidea,Clypeasteroida,NA,NA,NA
ASV_152,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,NA,NA
ASV_153,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,NA
ASV_154,Eukaryota,Mollusca,Gastropoda,Cephalaspidea,NA,NA,NA
ASV_155,Eukaryota,Annelida,Polychaeta,Spionida,NA,NA,NA
ASV_156,Eukaryota,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,Dreissena polymorpha
ASV_157,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_158,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,NA
ASV_159,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_16,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_160,Eukaryota,Mollusca,Gastropoda,Nudibranchia,NA,NA,NA
ASV_161,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,NA,NA
ASV_162,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_163,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_164,Eukaryota,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Calliostoma ligatum
ASV_165,Eukaryota,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus gracilis
ASV_166,Eukaryota,Annelida,Polychaeta,Spionida,NA,NA,NA
ASV_167,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_168,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_169,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_17,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,NA,NA
ASV_170,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_171,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,NA
ASV_172,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys stigmaeus
ASV_173,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe cf_ imbricata BCG_2017
ASV_174,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus dalli
ASV_175,Eukaryota,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinoma,Lucinoma borealis
ASV_176,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,Acanthodoris pilosa
ASV_178,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_179,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Velutinidae,NA,NA
ASV_18,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_180,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,NA,NA
ASV_181,Eukaryota,Annelida,Polychaeta,Phyllodocida,NA,NA,NA
ASV_182,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_183,Eukaryota,Echinodermata,Holothuroidea,Apodida,Chiridotidae,Chiridota,Chiridota laevis
ASV_184,Eukaryota,Mollusca,Bivalvia,Cardiida,Tellinidae,NA,NA
ASV_185,Eukaryota,Annelida,Polychaeta,Spionida,NA,NA,NA
ASV_186,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,NA,NA
ASV_187,Eukaryota,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Calliostoma ligatum
ASV_188,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_189,Eukaryota,Mollusca,Gastropoda,NA,NA,NA,NA
ASV_19,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepipatella,Crepipatella lingulata
ASV_190,Eukaryota,Echinodermata,Echinoidea,Clypeasteroida,NA,NA,NA
ASV_191,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Nassariidae,NA,NA
ASV_192,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_193,Eukaryota,Mollusca,Gastropoda,Limapontiidae__o,Limapontiidae,Olea,Olea hansineensis
ASV_194,Eukaryota,Arthropoda,Malacostraca,Decapoda,Hippolytidae,NA,NA
ASV_195,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_196,Eukaryota,Mollusca,Bivalvia,Adapedonta,Pharidae,NA,NA
ASV_197,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,NA,NA,NA
ASV_198,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula
ASV_199,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella bicincta
ASV_2,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_20,Eukaryota,Mollusca,Gastropoda,Cephalaspidea,NA,NA,NA
ASV_200,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_201,Eukaryota,Annelida,Polychaeta,Spionida,NA,NA,NA
ASV_203,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,NA,NA
ASV_204,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_205,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_206,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,NA,NA
ASV_207,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_208,Eukaryota,Echinodermata,Holothuroidea,Dendrochirotida,NA,NA,NA
ASV_209,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_21,Eukaryota,Mollusca,Gastropoda,Limapontiidae__o,Limapontiidae,Olea,Olea hansineensis
ASV_210,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiopholis,Ophiopholis aculeata
ASV_211,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,NA,NA
ASV_212,Eukaryota,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,NA,NA
ASV_213,Eukaryota,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria miniata
ASV_214,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,NA,NA
ASV_215,Eukaryota,Mollusca,Gastropoda,Hermaeidae__o,Hermaeidae,Hermaea,Hermaea oliviae
ASV_216,Eukaryota,Mollusca,Gastropoda,Nudibranchia,NA,NA,NA
ASV_217,Eukaryota,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria piperata
ASV_218,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,NA
ASV_219,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
