x	MP_1804_P12_v_morph	MP_1804_P28_v_morph	MP_1809_P12_v_morph	MP_1809_P28_v_morph	MP_1809_P38_o_morph	MP_1809_P402_o_morph	MP_1809_P4_o_morph	MP_1809_P8_o_morph	MP_1809_P28_o_morph	MP_1809_P22_o_morph	MP_1809_P12_o_morph	MP_1804_P22_o_morph	MP_1804_P4_o_morph	MP_1804_P28_o_morph	MP_1804_P12_o_morph	MP_1804_P38_o_morph	MP_1804_P402_o_morph	MP_1804_P8_o_morph	MP_1804_P22_v_morph	MP_1804_P4_v_morph	MP_1804_P8_v_morph	MP_1804_P38_v_morph	MP_1804_P402_v_morph	MP_1809_P402_v_morph	MP_1809_P38_v_morph	MP_1809_P8_v_morph	MP_1809_P4_v_morph	MP_1809_P22_v_morph
ASV_96	2.62999286622359	1.8525468540388	0	0	0.43983970286088	0.488400488393921	1.67116023062747	0	0	0	0.246612593228823	0	0.192526135440698	0	0.360721443043208	0.148355112679847	3.05763088178863	0	0	0.479419901911283	0.497721541394753	1.36421136170434	1.24003838917094	2.09830368673509	1.35416948778447	0.32773871206722	8.30572201646543	0.701210757289096
ASV_25	0.00328749113843164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000893088389100347	0
ASV_884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0893088388883567	0
ASV_124	0	0.0191642783018647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_89	0.438332140176522	0.46313671331666	0	0	0	0	1.33692818479177	0	0	0	0	0	3.46547043793257	0	1.030632693797	0.296710225326267	37.5651794132158	0.709320471018995	0	1.43825970573385	0	0.248038429511301	7.68823789125146	0	0	0	0.357235355640139	0
ASV_318	0	0	0.201430154044593	0	0	0	1.33692818479177	0	0	0	0	0	1.15515681250741	0	0	0	0.218402205866704	0	0	1.19854975489063	0	0	0.744022993783847	6.62622216930967	0	0	0.982397227793602	0.100172965319701
ASV_134	0	1.62097851501157	0.402860308152974	0	0	0	0	0	0	0	0.112522856177632	0	41.9706975247044	0	0	0	0	0	0.713517267510604	64.4819768062806	1.161350263077	0.372057644218326	0.4960153386328	0.552185180879253	0	0	0.267926516686748	0
ASV_137	0	0.23156835665833	0	0.384075709062828	0.146613234351369	0	0	0.512667150842994	0.990172537485814	8.25193462033567	0	6.02125078232184	0	2.70060149688398	0	0	0	2.12796141323771	0.237839089170201	0	3.81586515033825	0	0	0.110437036161246	0	1.31095484843083	0	5.70985902429789
ASV_39	4.60248759724559	0.694705069974989	6.84862523860057	0	2.1991985143044	25.8445258462402	2.67385636943865	0.341778100561996	1.23771567185727	0	9.90201134586464	0	0.205361211136745	0.491018454059077	15.4594904119544	0.168135794372722	1.31041323520022	0	9.75140265653694	0	0	0.620096073656689	3.47210742764833	1.32524443393496	0.270833897556894	0	0.982397227771924	0.100172965319701
ASV_891	0	0	0	0	0	0	0	0	0	0	0.0187538093410458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178617677776713	0
ASV_22	0.0438332157167906	0	0.402860308089186	0	0	0	0	0	0	0	0.225045712355263	0	0.0128350756960465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0.438332140176522	0.46313671331666	0.349145600339708	0	0	0	0	0	0	0.183376324861671	0.364761592208768	3.76680981578712	0	0.245509227029539	0	0.296710225326267	0	0.390126259087556	5.70813814092286	0	0.14489227093372	0.124019214707025	0	0	0	0.109246237369236	0	0
ASV_31	14.0266288622552	5.3260722225744	5.2371840063714	10.3700441444364	40.6118658975523	46.1945461934767	27.7412598316762	17.7724612294736	31.9330643341885	5.68466607202589	15.0030474938537	0.752656347865246	5.35222656443074	5.40120299582569	18.445462354368	2.86819884539998	10.264903674009	11.6062562064994	2.14055180267148	2.15738955893803	8.12945184268542	4.09263408542908	4.83614955192524	1.32524443389845	13.8125287769037	18.7914452923094	2.4113386503108	5.50951309258357
ASV_1381	0	0	0	0	0	0	0	0	0	0	0.0084392142034706	0.376328173632558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_190	0	0	0.00201430157170249	0	0	0	0	0	0	0	0.00281307140115687	0.395144582824297	0	0	0	0	0	0	0.014864943020761	0	0	0	0	0	0	0	0.0893088388883567	0
ASV_192	0	0	0	0	0	0	0	0	0	0	0	0.0564492257748247	0	0	0	0	0	0	0.00297298866002059	0	0.0331814360738762	0	0	0	0	0	0.0902019272774571	0
ASV_1393	0	0	0	0	0	0	0	0	0	0	0.0215668807422027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_116	0	0.404046861375112	0	0	0	0	0	0	0	0	0	1.88164086936305	20.4077703539784	1.22754613514769	0	4.45065338006114	0	7.44786494542836	0.475678178340403	2.87651941169254	2.4886077067281	1.35594341407017	0	0	0	0	0	0
ASV_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237839089170201	0	0	0	0	0	0	0	0	0
ASV_51	6.35581605707878	23.156835773936	16.11441233186	6.14521134471928	0	0.203500203407817	0	0	0.495086268742907	0	0	0	0	7.61078603923852	0	4.89571871806726	0	0	0	0.479419901911283	0.497721541312864	14.8823057645999	1.73605368526124	1.76699257857994	1.35416948778447	0.218492474697983	1.07170606689874	0
ASV_157	0	5.09450392035368	0.201430154044593	0.896176654427939	0.146613234351369	0	0.334232046125494	0	0	5.86804239623052	0.112522856177632	27.47195669018	2.8878920307898	6.62874913112036	0	2.96710225326267	0	9.22116612306621	21.8811962012841	5.27361892147379	12.1112241733112	3.10048036779719	0.248007669362844	0	0	0.655477424114195	0.267926516730104	25.1434142936071
ASV_155	0	0.46313671331666	0.201430154044593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237839089170201	0	0.16590718045127	0	0	0	0	0	0.267926516686748	0
ASV_413	0	0	0	0	0	0	0	0	0	0	0.225045712355263	1.1289845214978	0	0	0	0	0	0	0	0	0.16590718045127	0	0	0	0	0	0.267926516730104	0
