ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_96	Eukaryota	Annelida	Polychaeta	NA	NA	NA	NA
ASV_25	Eukaryota	Annelida	Polychaeta	Phyllodocida	Alciopidae	Rhynchonereella	Rhynchonereella angelini
ASV_884	Eukaryota	Annelida	Polychaeta	Sabellida	Oweniidae	NA	NA
ASV_124	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Cladocera__f	NA	NA
ASV_89	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Evadne	NA
ASV_318	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Podon	NA
ASV_134	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia hudsonica
ASV_137	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis
ASV_39	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Aetideidae	Aetideus	NA
ASV_891	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Aetideidae	Bradyidius	Bradyidius saanichi
ASV_22	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Aetideidae	Chiridius	Chiridius gracilis
ASV_38	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus marshallae
ASV_31	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1381	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Neocalanus	NA
ASV_190	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Neocalanus	Neocalanus cristatus
ASV_192	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Neocalanus	Neocalanus plumchrus
ASV_1393	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Candaciidae	Candacia	Candacia columbiae
ASV_116	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	Centropages	Centropages abdominalis
ASV_250	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	NA
ASV_51	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Microcalanus	NA
ASV_157	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_155	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_413	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus
ASV_156	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus moultoni
ASV_154	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani
ASV_198	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	Eucalanus bungii
ASV_236	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	NA
ASV_19	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Euchaetidae	Paraeuchaeta	Paraeuchaeta elongata
ASV_950	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Heterorhabdidae	Heterorhabdus	NA
ASV_45	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica
ASV_249	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_58	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	NA
ASV_113	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Pontellidae	Epilabidocera	Epilabidocera longipedata
ASV_264	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Scolecitrichidae	Scolecithricella	NA
ASV_61	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Scolecitrichidae	Scolecithricella	Scolecithricella minor
ASV_84	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tharybidae	Tharybis	Tharybis fultoni
ASV_91	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	NA
ASV_504	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	Tortanus discaudatus
ASV_79	Eukaryota	Arthropoda	Hexanauplia	Cirripedia__o	NA	NA	NA
ASV_82	Eukaryota	Arthropoda	Hexanauplia	Copepoda__o	NA	NA	NA
ASV_54	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona atlantica
ASV_56	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis
ASV_247	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	NA	NA	NA
ASV_98	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Clausidiidae	Hemicyclops	NA
ASV_42	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus
ASV_1462	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	NA	NA
ASV_151	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Triconia	Triconia borealis
