CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LONGITUDE_DEC,LATITUDE_DEC,STATION_NO,NISKIN_NO,CTDPRS_DBAR,CTDTMP_DEG_C_ITS90,CTDTMP_FLAG_W,CTDSAL_PSS78,CTDSAL_FLAG_W,SIGMATHETA_KG_M3,CTDOXY_UMOL_KG_ADJ,CTDOXY_MG_L,CTDOXY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_FLAG_W,TA_UMOL_KG,DIC_UMOL_KG,TA_FLAG_W,DIC_FLAG_W,NITRATE_UMOL_KG,NITRATE_UMOL_L,NITRITE_UMOL_KG,NITRITE_UMOL_L,AMMONIUM_UMOL_KG,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_KG,PHOSPHATE_UMOL_L,SILICATE_UMOL_KG,SILICATE_UMOL_L,NUTRIENTS_FLAG_W
CAB1028,4/5/15,16:35:32,4/5/15,9:35:32,-122.4536,47.7054,28,1,187.669,9.4957,2,32.8392,3,25.348,205.8,6.3852,2,225.7,7.404,-999,-999,2,2047.8,1986.2,2,2,22.8,23.32,0.39,0.4,2,2.05,2.14,2.19,47.86,48.94,2
CAB1028,4/5/15,16:36:59,4/5/15,9:36:59,-122.4535,47.7054,28,2,152.977,9.5133,2,32.75,3,25.275,207.7,6.4453,2,224.8,7.374,-999,-999,2,2047,1982.2,2,2,22.84,23.35,0.39,0.4,1.92,1.96,2.14,2.18,47.76,48.83,2
CAB1028,4/5/15,16:38:36,4/5/15,9:38:36,-122.4535,47.7054,28,3,112.879,9.6278,2,32.5707,3,25.117,212.3,6.5942,2,225.5,7.398,-999,-999,2,2035,1976,2,2,22.92,23.43,0.42,0.43,1.67,1.7,2.13,2.18,47.81,48.88,2
CAB1028,4/5/15,16:40:28,4/5/15,9:40:28,-122.4535,47.7054,28,4,81.098,9.7122,2,32.5223,3,25.065,216.9,6.7438,2,232.6,7.628,-999,-999,2,2035,1956.5,2,2,22.07,22.57,0.42,0.43,1.62,1.65,2.07,2.11,46.83,47.88,2
CAB1028,4/5/15,16:42:15,4/5/15,9:42:15,-122.4535,47.7054,28,5,51.043,9.7045,2,32.4436,3,25.005,216.5,6.7298,2,234.8,7.7,-999,-999,2,2031.4,1965.3,2,2,22.62,23.13,0.45,0.46,1.49,1.52,2.11,2.15,47.98,49.05,2
CAB1028,4/5/15,16:43:16,4/5/15,9:43:16,-122.4535,47.7054,28,6,30.87,9.781,2,32.1758,3,24.784,219.9,6.8379,2,236.1,7.743,-999,-999,2,2021,1957.1,6,2,23.39,23.91,0.56,0.58,1,1.02,2.14,2.19,50.6,51.72,2
CAB1028,4/5/15,16:44:02,4/5/15,9:44:02,-122.4535,47.7054,28,7,21.051,9.9106,2,32.0842,3,24.691,229.8,7.157,2,248.3,8.14,-999,-999,2,2025.1,1947.9,2,2,22.74,23.24,0.54,0.56,0.8,0.82,2.07,2.12,50.25,51.35,2
CAB1028,4/5/15,16:44:47,4/5/15,9:44:47,-122.4535,47.7054,28,8,11.051,9.9776,2,31.9467,3,24.573,235.2,7.3333,2,256.5,8.41,-999,-999,2,2014.3,1938,2,2,22.51,23,0.56,0.57,0.71,0.73,2.04,2.08,50.73,51.84,2
CAB1028,4/5/15,16:45:28,4/5/15,9:45:28,-122.4535,47.7054,28,9,5.914,10.0644,2,31.8324,3,24.469,241.8,7.5454,2,261.9,8.585,-999,-999,2,2009.3,1929.5,2,2,22.47,22.96,0.52,0.54,0.46,0.47,2,2.04,51.57,52.69,2
CAB1028,4/5/15,16:46:11,4/5/15,9:46:11,-122.4535,47.7054,28,11,2.905,10.0792,2,31.6334,3,24.312,248.3,7.7534,2,266.9,8.748,-999,-999,2,2003.6,1921.4,2,2,22.4,22.88,0.51,0.52,0.4,0.41,1.96,2,52.21,53.34,2
CAB1028,4/5/15,20:04:56,4/5/15,13:04:56,-122.3702,47.8821,5,1,215.752,9.4951,2,29.5091,2,22.748,225.3,7,2,221.3,7.243,-999,-999,2,2045.2,1996.6,2,2,22.56,23.01,0.41,0.41,1.59,1.62,2.14,2.19,48.48,49.46,2
CAB1028,4/5/15,20:09:24,4/5/15,13:09:24,-122.3705,47.882,5,4,152.247,9.4994,2,29.428,2,22.684,226.8,7.0473,2,223.2,7.303,-999,-999,2,2038.7,1989.9,2,2,22.9,23.35,0.43,0.43,1.37,1.39,2.14,2.19,47.88,48.84,2
CAB1028,4/5/15,20:10:58,4/5/15,13:10:58,-122.3706,47.882,5,5,111.969,9.5037,2,29.3271,2,22.604,224,6.9575,2,221.8,7.259,-999,-999,2,2043.6,1981.4,2,2,23.58,24.05,0.49,0.5,1.09,1.12,2.19,2.23,48.08,49.04,2
CAB1028,4/5/15,20:12:40,4/5/15,13:12:40,-122.3707,47.882,5,6,81.211,9.6069,2,29.1812,2,22.474,220.6,6.8445,2,212.2,6.942,-999,-999,2,2028.6,1983.8,2,2,24.81,25.3,0.44,0.45,0.42,0.42,2.23,2.28,50.37,51.37,2
CAB1028,4/5/15,20:14:09,4/5/15,13:14:09,-122.3705,47.8819,5,7,52.084,9.694,2,29.0599,2,22.366,228.9,7.1141,2,223.7,7.318,-999,-999,2,2021.9,1976.7,2,2,24.44,24.93,0.47,0.48,0.58,0.59,2.21,2.25,50.77,51.77,2
CAB1028,4/5/15,20:15:44,4/5/15,13:15:44,-122.3704,47.882,5,8,31.156,9.8758,2,28.874,2,22.193,247.3,7.7059,2,241.6,7.901,-999,-999,2,2019.7,1960.1,2,2,22.72,23.16,0.5,0.51,1.14,1.16,2.08,2.13,49.45,50.42,2
CAB1028,4/5/15,20:16:44,4/5/15,13:16:44,-122.3703,47.8821,5,9,21.167,10.0761,2,28.6112,2,21.957,268.1,8.3756,2,-999,-999,-999,-999,5,2004.2,-999,2,5,21.99,22.41,0.51,0.52,0.99,1.01,2.01,2.05,50.1,51.07,2
CAB1028,4/5/15,20:18:24,4/5/15,13:18:24,-122.3702,47.8821,5,10,10.036,10.1986,2,28.5038,2,21.854,286.9,8.983,2,279.5,9.14,-999,-999,2,2001.6,1921.7,2,2,19.97,20.36,0.48,0.49,0.58,0.59,1.88,1.92,49.69,50.65,2
CAB1028,4/5/15,20:19:12,4/5/15,13:19:12,-122.3701,47.8821,5,11,5.877,10.262,2,27.986,2,21.441,280.1,8.7604,2,282.3,9.228,-999,-999,2,1979.5,1900.3,2,2,19.06,19.42,0.48,0.49,0.66,0.68,1.85,1.88,50.06,51.01,2
CAB1028,4/5/15,20:20:27,4/5/15,13:20:27,-122.3699,47.8821,5,12,3.272,10.838,2,25.242,2,19.216,306.8,9.6018,2,307.3,10.021,-999,-999,2,1805.1,1704.7,2,2,11.12,11.31,0.32,0.32,0.88,0.89,1.2,1.22,47.72,48.52,2
CAB1028,4/5/15,21:39:17,4/5/15,14:39:17,-122.3021,48.0168,1,1,97.01,9.8972,2,29.4325,2,22.625,176.2,5.4095,2,171.5,5.613,-999,-999,2,2041.8,2030.2,2,2,26.02,26.54,0.14,0.15,0.05,0.05,2.65,2.7,61.52,62.75,2
CAB1028,4/5/15,21:40:54,4/5/15,14:40:54,-122.3017,48.0169,1,2,80.768,9.7882,2,29.3052,2,22.543,190.7,5.8773,2,182.9,5.984,-999,-999,2,2031.5,2012.1,2,2,26.37,26.89,0.06,0.06,0.04,0.04,2.52,2.57,58.39,59.55,2
CAB1028,4/5/15,21:42:05,4/5/15,14:42:05,-122.3014,48.0168,1,3,50.554,9.9367,2,29.0178,2,22.296,197.5,6.0957,2,189.9,6.213,-999,-999,2,2025.9,2001.9,2,2,27.33,27.87,0.05,0.06,0.18,0.18,2.52,2.57,58.51,59.66,2
