CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LONGITUDE_DEC,LATITUDE_DEC,STATION_NO,NISKIN_NO,CTDPRS_DBAR,CTDTMP_DEG_C_ITS90,CTDTMP_FLAG_W,CTDSAL_PSS78,CTDSAL_FLAG_W,SIGMATHETA_KG_M3,CTDOXY_UMOL_KG_ADJ,CTDOXY_MG_L,CTDOXY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_FLAG_W,TA_UMOL_KG,DIC_UMOL_KG,TA_FLAG_W,DIC_FLAG_W,NITRATE_UMOL_KG,NITRATE_UMOL_L,NITRITE_UMOL_KG,NITRITE_UMOL_L,AMMONIUM_UMOL_KG,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_KG,PHOSPHATE_UMOL_L,SILICATE_UMOL_KG,SILICATE_UMOL_L,NUTRIENTS_FLAG_W
CAB1034,7/7/15,17:07:20,7/7/15,10:07:20,-122.454,47.7067,28,1,184.645,11.9063,2,30.2399,2,22.912,205.5,6.4663,2,206.2,6.75,-999,-999,2,2099,2009,2,2,14.4,14.7,0.39,0.4,4.1,4.18,2.08,2.12,35.27,35.99,2
CAB1034,7/7/15,17:10:07,7/7/15,10:10:07,-122.4542,47.7072,28,2,151.055,11.9613,2,30.2179,2,22.885,207.8,6.5411,2,210.8,6.901,-999,-999,2,2097.4,2004.1,2,2,14.41,14.7,0.39,0.4,3.87,3.95,2.03,2.07,34.28,34.99,2
CAB1034,7/7/15,17:12:29,7/7/15,10:12:29,-122.4537,47.7076,28,3,110.763,12.1894,2,30.2082,2,22.836,213.9,6.7345,2,213.8,6.997,-999,-999,2,2097.1,1995,2,2,13.8,14.08,0.36,0.37,3.66,3.73,1.94,1.98,32.98,33.66,2
CAB1034,7/7/15,17:15:43,7/7/15,10:15:43,-122.4533,47.7082,28,4,81.801,12.0929,2,30.0896,2,22.762,211.5,6.6592,2,199.1,6.517,-999,-999,2,2090.8,1993.4,2,2,14.22,14.52,0.39,0.4,3.85,3.93,1.99,2.03,32.76,33.43,2
CAB1034,7/7/15,17:18:26,7/7/15,10:18:26,-122.4534,47.7087,28,5,51.043,12.1497,2,29.8693,2,22.581,212.8,6.6986,2,211.9,6.935,-999,-999,2,2076,1989.1,2,2,15.09,15.4,0.45,0.46,3.68,3.76,2.04,2.08,34.81,35.52,2
CAB1034,7/7/15,17:20:35,7/7/15,10:20:35,-122.4529,47.7092,28,6,30.984,12.5318,2,29.7486,2,22.417,222.4,7.0048,2,228.2,7.467,-999,-999,2,2074.3,1975.7,2,2,13.82,14.1,0.42,0.43,3.59,3.66,1.98,2.02,34.83,35.53,2
CAB1034,7/7/15,17:22:13,7/7/15,10:22:13,-122.4523,47.7094,28,7,20.837,12.5782,2,29.7072,2,22.377,224.8,7.0809,2,225,7.362,-999,-999,2,2067.7,1970.1,2,2,13.46,13.73,0.42,0.43,3.59,3.66,1.96,2,34.16,34.85,2
CAB1034,7/7/15,17:24:07,7/7/15,10:24:07,-122.4518,47.7096,28,8,10.683,12.9414,2,29.6741,2,22.283,235,7.4079,2,236.1,7.722,-999,-999,2,2068.9,1958.1,2,2,12.2,12.44,0.39,0.4,2.95,3.01,1.83,1.87,32.71,33.37,2
CAB1034,7/7/15,17:26:08,7/7/15,10:26:08,-122.4514,47.71,28,9,5.567,13.3021,2,29.6275,2,22.177,250.2,7.8914,2,255.9,8.372,-999,-999,2,2060.3,1943.3,2,2,11.25,11.48,0.37,0.38,2.33,2.38,1.75,1.78,31.61,32.25,2
CAB1034,7/7/15,17:29:09,7/7/15,10:29:09,-122.451,47.7106,28,11,2.403,13.9787,2,29.5669,2,21.998,274.1,8.6562,2,272.6,8.915,-999,-999,2,2068.2,1925,2,2,9.36,9.54,0.33,0.34,1.31,1.33,1.5,1.53,29.11,29.7,2
CAB1034,7/7/15,20:04:36,7/7/15,13:04:36,-122.3716,47.8815,5,1,221.748,11.5143,2,30.2217,2,22.968,194.9,6.1277,2,193.8,6.343,-999,-999,2,2088.6,2016.1,2,2,17.2,17.55,0.49,0.5,2.54,2.59,2.13,2.18,39.25,40.06,2
CAB1034,7/7/15,20:08:24,7/7/15,13:08:24,-122.3721,47.8809,5,2,151.702,11.6008,2,30.2201,2,22.952,198.9,6.257,2,195.2,6.389,-999,-999,2,2098.8,1998,2,2,16.62,16.97,0.47,0.48,2.74,2.79,2.07,2.12,38.23,39.02,2
CAB1034,7/7/15,20:11:09,7/7/15,13:11:09,-122.3726,47.8805,5,3,111.762,11.8038,2,30.0889,2,22.814,205.4,6.4641,2,203,6.643,-999,-999,2,2081.9,1999,2,2,16.34,16.68,0.44,0.45,2.51,2.56,2,2.04,34.52,35.22,2
CAB1034,7/7/15,20:13:34,7/7/15,13:13:34,-122.373,47.88,5,4,81.017,11.7746,2,29.9133,2,22.683,204,6.4184,2,202.3,6.621,-999,-999,2,2079.8,2001,2,2,17.01,17.35,0.45,0.46,2.35,2.4,2.04,2.08,35.32,36.04,2
CAB1034,7/7/15,20:16:22,7/7/15,13:16:22,-122.3735,47.8795,5,5,50.697,12.0379,2,29.8437,2,22.582,212.3,6.6845,2,213.1,6.973,-999,-999,2,2075.1,1985.4,2,2,15.38,15.7,0.45,0.46,3.15,3.21,1.99,2.03,34.18,34.88,2
