CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LONGITUDE_DEC,LATITUDE_DEC,STATION_NO,NISKIN_NO,CTDPRS_DBAR,CTDTMP_DEG_C_ITS90,CTDTMP_FLAG_W,CTDSAL_PSS78,CTDSAL_FLAG_W,SIGMATHETA_KG_M3,CTDOXY_UMOL_KG_ADJ,CTDOXY_MG_L,CTDOXY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,NITRATE_UMOL_KG,NITRATE_UMOL_L,NITRITE_UMOL_KG,NITRITE_UMOL_L,AMMONIUM_UMOL_KG,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_KG,PHOSPHATE_UMOL_L,SILICATE_UMOL_KG,SILICATE_UMOL_L,NUTRIENTS_FLAG_W
CAB1037,9/23/15,17:16:53,9/23/15,10:16:53,-122.4536,47.7033,28,1,188.8,12.2538,2,31.0872,2,23.506,178.5,5.6261,2,176,5.764,-999,-999,9,2126.5,2,2065.7,2,20.46,20.89,0.54,0.56,1.29,1.31,2.23,2.27,41.46,42.34,2
CAB1037,9/23/15,17:19:05,9/23/15,10:19:05,-122.4538,47.7032,28,3,151.855,12.6094,2,30.8979,2,23.292,181,5.7061,2,177.5,5.811,-999,-999,9,2116.8,2,2055,2,20.12,20.55,0.55,0.57,0.99,1.01,2.2,2.24,39.31,40.14,2
CAB1037,9/23/15,17:21:16,9/23/15,10:21:16,-122.4539,47.7032,28,4,111.967,12.8291,2,30.7497,2,23.136,176.4,5.5557,2,190.4,6.234,-999,-999,9,2106.6,2,2050.4,2,21.14,21.58,0.52,0.53,0.23,0.24,2.22,2.27,39.44,40.27,2
CAB1037,9/23/15,17:23:10,9/23/15,10:23:10,-122.454,47.7033,28,5,80.706,12.921,2,30.6985,2,23.079,171.2,5.388,2,167.6,5.488,-999,-999,9,2102.8,9,-999,9,22.2,22.66,0.21,0.22,0,0,2.27,2.32,40.46,41.31,2
CAB1037,9/23/15,17:25:01,9/23/15,10:25:01,-122.454,47.7033,28,6,50.538,13.2006,2,30.6137,2,22.959,176.4,5.5569,2,172.2,5.638,-999,-999,9,2102.9,2,2038.9,2,21.62,22.07,0.28,0.28,0.01,0.01,2.28,2.33,40.37,41.22,2
CAB1037,9/23/15,17:26:27,9/23/15,10:26:27,-122.4541,47.7034,28,7,30.56,13.6267,2,30.4959,2,22.785,193.3,6.1015,2,209.5,6.856,-999,-999,9,2100.2,2,2020.1,2,18.91,19.31,0.36,0.37,0.61,0.63,2.18,2.22,38.99,39.8,2
CAB1037,9/23/15,17:27:44,9/23/15,10:27:44,-122.4541,47.7034,28,8,20.724,13.8306,2,30.439,2,22.7,226.9,7.1866,2,272.8,8.926,-999,-999,9,2103.1,2,1995,2,14.81,15.12,0.35,0.35,0.57,0.58,1.89,1.93,35.46,36.2,2
CAB1037,9/23/15,17:29:06,9/23/15,10:29:06,-122.4542,47.7035,28,9,10.558,13.8586,2,30.424,2,22.683,248,7.8686,2,255.6,8.365,-999,-999,9,2100.4,2,1980.3,2,12.82,13.09,0.33,0.33,0.47,0.48,1.73,1.76,33.3,33.99,2
CAB1037,9/23/15,17:30:24,9/23/15,10:30:24,-122.4542,47.7035,28,10,5.779,14.0567,2,30.409,2,22.631,296.5,9.4363,2,287.9,9.42,-999,-999,9,2103,2,1946.3,2,7.4,7.55,0.26,0.26,0.18,0.18,1.31,1.34,29.01,29.61,2
CAB1037,9/23/15,17:31:27,9/23/15,10:31:27,-122.4542,47.7036,28,12,2.692,14.1198,2,30.4048,2,22.615,304.2,9.6837,2,298,9.75,-999,-999,9,2105.7,2,1937.1,2,6.33,6.46,0.25,0.25,0.12,0.12,1.23,1.26,28.17,28.76,2
