Date,DateCat,Year,Month,Longitude,Latitude,Station,NISKIN,Depth (m),Depth,pH,pCO2 µatm,Record No,CTDPRS_DBAR,Depth Category,CTDTMP_DEG_C_ITS90,CTD Salinity (PSU),SIGMATHETA_KG_M3,CTDOXY_MG_L_AVG,OXYGEN_UMOL_KG,"DIC
(µmol/kg)","TAlk
(µmol/kg)",PHOSPHATE umol_kg,SILICATE umol_kg,Aragonite,O2 in mg/l
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,8,3,Surface,8.200960943,235.3981626,33CB20140714,2.499,Surf-10m,20.438,25.798,17.65,10.528,344.6,1653.8,1893.7,,,2.739313987,11.22
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,7,7,5-m,8.201412739,242.8900535,33CB20140714,7.196,Surf-10m,14.35,28.406,21.029,12.016,363.5,1786.8,2012.7,,,2.479974514,11.877
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,6,12,Mid,8.129519939,295.7866967,33CB20140714,12.238,Surf-10m,12.085,28.788,21.755,11.387,360.4,1845.8,2029.4,,,2.028349013,11.784
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,5,22,Mid,7.724421378,825.2535352,33CB20140714,22.009,Mid 20-30m,10.214,29.126,22.336,6.188,200.2,1991.3,2037.7,,,0.829851508,6.55
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,4,32,Mid,7.454085494,1567.226608,33CB20140714,31.99,Mid 20-30m,9.098,29.244,22.6,4.352,139.8,2057.8,2030.9,,,0.438351594,4.574
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,3,52,Mid,7.496435927,1414.392692,33CB20140714,51.943,Mid 40-60m,8.626,29.492,22.864,4.767,148.4,2058,2041.6,,,0.476545142,4.857
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,2,81,Deep,7.430992786,1653.249982,33CB20140714,81.645,Deep 70-90m,8.555,29.648,22.996,4.589,147.6,2084.7,2051,,,0.412914464,4.833
7/16/14,7/1/14,2014,Jul,-123.1088,47.4247,P12,1,121,Deep,7.305085772,2254.455744,33CB20140714,121.438,Deep 100-120m,8.45,30.11,23.373,2.457,80.8,2162.4,2091.5,,,0.318320037,2.644
7/15/14,7/1/14,2014,Jul,-123.0198,48.272,P22,9,3,Surface,7.880239247,576.8683668,33CB20140714,3.022,Surf-10m,11.671,30.074,22.826,7.262,230.8,1994.5,2096,,,1.284049208,7.5525
7/15/14,7/1/14,2014,Jul,-123.0198,48.272,P22,10,3,Surface,,,33CB20140714,3.14,Surf-10m,11.67,30.076,22.827,7.277,,,,,,,
7/15/14,7/1/14,2014,Jul,-123.0198,48.272,P22,11,3,Surface,,,33CB20140714,3.026,Surf-10m,11.689,30.078,22.825,7.272,,,,,,,
7/15/14,7/1/14,2014,Jul,-123.0198,48.272,P22,7,7,5-m,7.872069444,588.476913,33CB20140714,6.869,Surf-10m,11.474,30.108,22.887,7.212,227.3,1999.2,2097.4,,,1.254238632,7.441
7/15/14,7/1/14,2014,Jul,-123.0198,48.272,P22,8,7,5-m,,,33CB20140714,6.688,Surf-10m,11.027,30.247,23.073,6.853,,,,,,,
