,code,Station.x,Year.x,Month.x,temp_Deep,temp_Surface,Oxygen_Deep,Oxygen_Surface,Salinity_Deep,Salinity_Surface,stationmonth,Cluster
113,P28-2014-JUL,P28,2014,JUL,10.77775,14.63,6.22525,10.984,30.0265,28.431,P28-JUL,1
103,P22-2014-SEP,P22,2014,SEP,9.444,10.8705,4.3745,6.114,32.3405,31.4195,P22-SEP,1
92,P12-2015-APR,P12,2015,APR,10.4688,11.6372,2.0845,13.68,29.93715,25.1693,P12-APR,1
114,P28-2015-APR,P28,2015,APR,9.58725,10.0792,7.451,8.748,32.67055,31.6334,P28-APR,1
137,P4-2015-APR,P4,2015,APR,9.7435,11.0216,5.401,13.2505,29.1623,20.3987,P4-APR,1
147,P402-2015-APR,P402,2015,APR,10.40526667,11.9685,3.0345,13.3265,29.39703333,24.1205,P402-APR,1
93,P12-2015-JUL,P12,2015,JUL,10.2858,20.8951,0.71925,9.612,29.88375,26.5853,P12-JUL,1
125,P38-2015-JUL,P38,2015,JUL,12.98125,14.646,6.683,8.9725,29.5127,29.2658,P38-JUL,1
138,P4-2015-JUL,P4,2015,JUL,10.4192,16.1646,4.836,13.564,29.4738,25.8996,P4-JUL,1
148,P402-2015-JUL,P402,2015,JUL,10.64403333,21.8239,0.896333333,9.693,29.62873333,26.0505,P402-JUL,1
157,P8-2015-JUL,P8,2015,JUL,11.86073333,14.9293,6.691,12.663,30.5433,29.7911,P8-JUL,1
94,P12-2015-SEP,P12,2015,SEP,12.29305,13.3949,4.3795,6.739,30.6575,29.0262,P12-SEP,1
104,P22-2015-SEP,P22,2015,SEP,9.505,11.466,4.52,6.183,32.5167,30.681,P22-SEP,1
115,P28-2015-SEP,P28,2015,SEP,12.653325,14.1198,5.82425,9.75,30.858325,30.4048,P28-SEP,1
126,P38-2015-SEP,P38,2015,SEP,13.95065,14.576,5.9875,5.569,30.34955,30.1435,P38-SEP,1
139,P4-2015-SEP,P4,2015,SEP,12.6068,15.113,2.953,11.026,30.4733,24.2882,P4-SEP,1
149,P402-2015-SEP,P402,2015,SEP,12.0292,15.3499,2.860333333,7.31,30.43563333,27.0494,P402-SEP,1
158,P8-2016-APR,P8,2016,APR,9.659233333,10.8771,8.619666667,11.602,29.22573333,27.2483,P8-APR,1
