,CTDTMP_DEG_C_ITS90_Deep,CTDTMP_DEG_C_ITS90_Surface,CTDSAL_PSS78_Deep,CTDSAL_PSS78_Surface,OXYGEN_MG_L_1_Deep,OXYGEN_MG_L_1_Surface,Cluster,,5,,
PP12-2015-APR,-0.723225635,-0.661807471,-0.184817219,0.588000555,1.170433849,0.962074118,5,,2015,7,2015
PP12-2017-APR,0.254468837,-0.112625783,-0.775156597,0.105776483,0.970434202,0.07661307,5,,2017,6,2021
PP12-2017-JUL,-0.870498329,-0.888627353,0.396094437,0.615352711,0.825814087,-0.746559196,5,,2018,6,2018
PP12-2018-APR,-1.314875823,-1.570226797,-0.716868679,0.48656192,0.930842722,-1.033017556,5,,2019,3,
PP12-2019-APR,-0.821762905,-1.168481384,-0.103574847,0.629465682,0.738978631,-1.110858305,5,,2020,5,
PP12-2020-JUL,-0.449688732,-0.539647902,-0.043155443,0.400057085,1.015565023,-0.447343519,5,,2021,9,
PP12-2021-APR,-0.631086889,-0.639212644,-0.691618779,0.06732989,0.663123236,0.542860562,5,,2022,4,
PP12-2021-SEP,-1.051256633,-0.917256407,-1.594548637,0.219633473,1.039196933,-0.327617581,5,,4,,
PP12-2022-SEP,1.355121612,-0.098814108,0.218197415,0.369633438,-1.241790923,-1.539672387,5,,2014,1,
PP22-2015-JUL,0.090346696,-0.177728386,0.144661181,0.7341082,1.083313956,-0.60307761,5,,2015,2,
PP22-2016-APR,0.473405001,-0.221174819,-0.355663943,0.614743708,0.95219543,-0.178336133,5,,2017,3,
PP22-2020-JUL,-0.86847213,-0.746085506,-1.003307477,0.456217708,0.966684133,0.6474942,5,,2018,3,
PP22-2021-APR,-0.867618993,-0.378668139,0.281076224,0.503746382,0.566811382,-0.093257603,5,,2019,1,
PP22-2021-SEP,-0.610931538,-0.694057061,-0.578650072,-0.533543758,0.353759083,-0.696530441,5,,2020,3,
PP28-2014-SEP,-0.824748882,-0.105854039,0.332641766,0.769562737,0.870266354,0.397511279,5,,2021,2,
PP28-2017-JUL,1.232091109,-0.461167884,0.046861429,0.869160091,1.090096803,-0.514577951,5,,2022,5,2022
PP28-2018-JUL,0.771344798,-0.72986186,-0.190838256,0.722412232,1.065679775,-0.56498109,5,,3,,
PP28-2020-SEP,1.103167407,-0.375297974,0.016518812,0.796501229,0.813760109,-0.645057988,5,,2014,0,
PP28-2021-JUL,0.747896948,-0.777563701,0.480694269,0.918499788,0.952564157,-1.268409509,5,,2015,4,2019
PP28-2022-APR,0.791160995,-0.955010588,0.284751351,0.951949083,1.129072596,-0.068926445,5,,2017,3,2015
PP28-2022-SEP,0.12735788,-0.697202924,-0.086208543,0.554649317,0.705847127,-0.674182,5,,2018,1,
PP38-2015-APR,-0.603472928,-0.940165617,-0.38288134,-0.475366513,0.153312231,0.272810949,5,,2019,6,
PP38-2016-JUL,1.386515335,-0.269766724,-0.384117873,0.826057376,1.337195601,-0.936866839,5,,2020,1,
PP38-2021-APR,0.17117457,-0.261915384,0.054565981,0.082307131,0.908922122,-0.948002082,5,,2021,2,
PP4-2015-JUL,-0.078541088,-0.788845879,-0.223273467,0.545154802,1.065526668,0.597907954,5,,2022,1,
PP4-2017-APR,0.54120849,-1.166468954,0.785071617,1.282270806,1.004838137,-1.479373726,5,,2,,
PP4-2018-APR,0.405810971,-0.940330561,0.173748736,0.928471015,0.751663562,-1.389553732,5,,2014,2,2017
PP4-2020-SEP,0.768891593,-0.3579994,-0.086796723,0.15011217,0.34818096,-0.583812349,5,,2015,4,2018
PP4-2021-APR,0.337983468,-0.299531094,0.092185021,0.686344336,1.094880888,-0.054858158,5,,2017,7,
PP402-2015-APR,0.765155396,-0.274997771,-0.121541956,0.689966493,1.094995175,-0.478209764,5,,2018,8,
PP402-2015-JUL,0.579722009,-0.266931258,-0.285340909,0.485187127,0.810557018,-0.423098549,5,,2019,3,
PP402-2016-APR,0.795765997,0.156866607,0.234864324,0.836995424,0.852530205,-0.487395005,5,,2020,2,
PP402-2017-JUL,0.622655507,-0.418414796,0.000893626,0.805977523,0.570806469,-0.772077087,5,,2021,2,
PP402-2018-APR,-0.114358633,-0.591928256,-0.502863584,-0.371274257,-0.527440204,-1.054174677,5,,2022,4,
PP402-2018-JUL,0.571200856,-0.549259188,-0.380719979,0.547171912,0.980184191,-0.379838407,5,,1,,
PP402-2020-JUL,0.521384888,-0.516492458,-0.023924397,0.681599822,0.87971583,-0.077691428,5,,2014,2,2019
PP8-2015-SEP,0.410544359,-0.483725729,0.475745138,0.874186296,0.946240021,-0.326670268,5,,2015,3,
PP8-2016-SEP,0.172345374,-0.654513265,0.345718161,0.787305563,0.684753845,-0.6542203,5,,2017,1,
PP8-2017-SEP,0.133148072,-0.123180447,0.230581998,0.270459586,0.663676874,-0.105242365,5,,2018,1,
PP8-2018-SEP,0.489856624,-0.492237291,0.166347114,0.497890182,1.0510178,-0.678615093,5,,2019,6,
PP8-2019-JUL,0.075007594,-0.945408386,0.389709324,0.723433175,0.950191953,-0.802689239,5,,2020,2,
PP8-2019-SEP,0.303767763,-0.219477914,0.592925138,0.914846274,0.732283499,-0.625508851,5,,2021,1,
PP8-2020-SEP,-0.270099081,-0.008190924,0.621149557,0.615839831,0.858517567,-0.126198681,5,,2022,2,
PP8-2021-APR,0.235729638,-0.771338615,-0.964478817,-0.701655715,-0.075334433,-0.811209622,5,,,,
PP8-2021-JUL,1.819680786,0.299059747,-0.436779514,0.720117117,1.235389721,-1.127178056,5,,,,
PP8-2021-SEP,0.226421918,-0.651397922,0.398176649,0.839852336,0.705037732,-0.811245852,5,,,,
PP8-2022-APR,0.350896291,0.329823756,-0.603790212,-0.999335734,1.131290035,-0.376751287,5,,,,
PP8-2022-JUL,1.478375857,0.182790708,-0.57829091,0.613340033,0.733494341,-1.149626968,5,,,,
PP8-2022-SEP,0.387996078,0.036925914,-0.184998235,0.395857613,1.017345111,-0.268293028,5,,,,
