"","ACARTIA HUDSONICA","ACARTIA LONGIREMIS","AEQUOREA VICTORIA","AETIDEUS","Aglantha digitale","AGLANTHA DIGITALE","ALIENACANTHOMYSIS MACROPSIS","AMPHIPODA","ANTHOATHECATA","Anthozoa","ASCIDIACEA","AXIIDAE","BARNACLES","BIVALVIA","BRADYIDIUS SAANICHI","BRYOZOA","CALANUS MARSHALLAE","CALANUS PACIFICUS","CALLIOPIUS PACIFICUS","CANCER PRODUCTUS","Cancridae Lg","Cancridae Sm","CANDACIA COLUMBIAE","CARIDEA","CENTROPAGES ABDOMINALIS","CHAETOGNATHA","CHIRIDIUS GRACILIS","CLIONE LIMACINA","Clytia gregaria","CLYTIA GREGARIA","COPEPODA","CRANGONIDAE","CUMACEA","CYPHOCARIS CHALLENGERI","DITRICHOCORYCAEUS ANGLICUS","ECHINODERMATA","EPILABIDOCERA LONGIPEDATA","EUCALANUS BUNGII","EUPHAUSIA PACIFICA","EUPHAUSIIDAE","EUPHYSA","EUTONINA INDICANS","EVADNE","FABIA SUBQUADRATA","FISH","Forage FISH","FRITILLARIA","GALATHEIDAE","GAMMARIDEA","GASTROPODA","GLEBOCARCINUS OREGONENSIS","HARPACTICOIDA","HEMIGRAPSUS","HIPPOLYTIDAE","HYDROID","HYPERIA","HYPERIIDEA","HYPEROCHE","ISOPODA","LEPTOTHECATA","LEUCKARTIARA","LIMACINA HELICINA","LITTORINA","LOPHOPANOPEUS BELLUS","METACARCINUS GRACILIS","METACARCINUS MAGISTER","METRIDIA PACIFICA","MICROCALANUS","Mitrocoma cellularia","MONOTHULA SUBTILIS","Muggiaea atlantica","MUGGIAEA ATLANTICA","MYSIDACEA","Nanomia bijuga","Nemertea","NEOCALANUS CRISTATUS","NEOCALANUS PLUMCHRUS","NEOMYSIS","NEOTRYPAEA CALIFORNIENSIS","NOCTILUCA","OBELIA","OCTOPODA","OIKOPLEURA","OITHONA ATLANTICA","OITHONA SIMILIS","OREGONIA GRACILIS","OSTRACODA","OWENIIDAE","PACIFACANTHOMYSIS NEPHROPHTHALMA","PAGURIDAE","PANDALIDAE","PARACALANUS","PARAEUCHAETA ELONGATA","PASIPHAEA PACIFICA","PETROLISTHES","PHORONIDA","PINNIXA","PINNOTHERES","PLATYHELMINTHES","Pleurobrachia bachei","PLEUROBRACHIA BACHEI","PODON","POLYCHAETA","PROBOSCIDACTYLA FLAVICIRRATA","PSEUDOCALANUS","PSEUDOCALANUS Lg","PSEUDOCALANUS MIMUS","PSEUDOCALANUS MINUTUS","PSEUDOCALANUS MOULTONI","PSEUDOCALANUS NEWMANI","PSEUDOCALANUS Sm","PUGETTIA","RATHKEA","SARSIA","SCOLECITHRICELLA MINOR","THEMISTO PACIFICA","THYSANOESSA","THYSANOESSA RASCHII","THYSANOESSA SPINIFERA","TORTANUS","TORTANUS DISCAUDATUS","TRICONIA BOREALIS","TRICONIA MINUTA","UNKNOWN","XENACANTHOMYSIS PSEUDOMACROPSIS","Cluster"
"P8-2015-JUL",0,0,0,0.0943244826308671,0,0.047266649589279,0,0,0,0,0,0.0121594889768232,0.0816570379582204,0,0,0.0471097612414568,0,0.232801546446876,0,0,0,0,0,0,0,0.00967670657361503,0,0.0471621151670676,0,0,0.105497251325067,0,0,0.0125582868480933,0.163865002953912,0,0,0,0.0572354599136864,0.105497251329852,0,0,0,0,0.00384508276227839,0,0.0471097612414568,0.00941860682125884,0,0.105497251329852,0,0,0,0.0125582868480933,0,0,0,0,0,0,0,0.00221995592103569,0.0471097612414568,0.0486559531294302,0,0,0.094377026622596,0.115609557688138,0,0,0,0,0,0.00221995592103569,0,0,0,0,0.0489593501198115,0.0816570379520576,0,0,0.217515364722498,0.115609557675021,0.386273060524237,0,0,0,0,0,0,0.884828033877123,0.0049639886455528,0,0,0,0,0,0,0,0,0,0.0816873431279181,0,0.0471097612414568,0,0,0,0,0,0,0,0,0,0,0.0460502220213617,0,0.0473188304456854,0.00221995592103569,0,0,0,0.094324482625524,0,0,9
"P38-2019-JUL",0,0,0,0.0462226266526117,0,0.0186824151269272,0.00296616658150076,0.0478461821250945,0,0,0,0.0123494320278468,0.0261994326626617,0.0478461821250945,0,0,0.0883050624878193,0.408717217908416,0,0.0123494320278468,0,0,0,0,0,0.129517647859341,0,0,0,0,0,0.0478461821250945,0,0.0133755651235572,0.376183246469502,0.0478461821250945,0,0.00296616658150076,0.0566729002222015,0.0552550476141287,0,0,0.0261994326673018,0,0.0699772020519373,0.0524168705245879,0,0,0,0.0829354457465722,0.0174651782319695,0,0.0231051402457475,0.0213909313042604,0,0,0,0,0,0,0,0.0123494320278468,0,0,0.0195269111041321,0,0.0699141039087019,0.19850060641709,0,0,0,0,0,0,0,0,0,0.0179619700896135,0.0326785113141924,0,0,0,0.0829354457465722,0.00873225614077582,0.251153266099665,0,0,0,0.0078478081692652,0,0,0.809247173594722,0,0,0,0,0.00873225614077582,0,0,0,0,0.00873225614077582,0.0478461821250945,0,0,0.0478461821250945,0,0,0,0,0.0478461821250945,0,0,0,0,0.0418199973411993,0,0.00296616658150076,0,0,0,0,0,0,0,9
"P12-2020-JUL",0,0,0,0.0218888614430085,0,0.031848438826271,0,0.0489606324027571,0,0,0,0,0,0.0848702759566829,0,0.0848702759566829,0,0.166494702865622,0,0.0112140438034148,0,0,0,0,0.0126368672415622,0.071488020499774,0,0,0,0,0.0848702759566829,0,0,0.0119883529827738,0.129850507557943,0,0,0,0.123837969730658,0,0,0,0,0,0.00244705614834429,0,0,0,0,0,0.00244705614834429,0,0,0.00847694416623578,0,0,0.120169672877905,0,0.0692685102050929,0,0,0.314699274671887,0.00893549560514143,0,0.0154771443250088,0.00346066341439084,0.203184373919791,0.367884166740421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980391254239051,0.231619404660177,0.318745793024306,0,0.0980391254239051,0,0,0,0,0.692045628380614,0.00847694416623578,0,0,0,0,0,0,0,0,0,0.109655189587519,0.00244705614834429,0.0489606324027571,0,0.0980391254124336,0,0.0489606324027571,0,0.0489606324027571,0,0,0,0,0.134134335897102,0,0.00244705614834429,0,0,0,0,0,0,0,9
"P402-2020-JUL",0,0,0,0,0,0.0152509079804377,0,0,0.0321560320429501,0,0,0.0101670530204468,0.144281432313503,0.10184474888574,0,0.0454833405419615,0,0.113150100639585,0,0,0,0,0,0,0,0,0,0,0,0.0454833405419615,0,0.0500870067971232,0,0,0.120588164231171,0,0,0,0.00508346083215291,0,0,0,0.0454833405419615,0,0.0788339278841631,0.0262537815935842,0.120588164231171,0,0,0,0,0.0454833405419615,0.0131257597662621,0.0306463117681499,0,0,0,0.00508346083215291,0,0,0,0.26832810224285,0.0454833405419615,0,0.00508346083215291,0,0.0910611162308784,0.128959107107546,0,0,0,0,0,0,0,0,0,0,0.0511945225329964,0.151376636033068,0,0,0.407568170804344,0.151376636042909,0.111604102946236,0.0101670530204468,0.0788339278841631,0,0,0.0113671598067066,0,0.810504971841768,0,0,0,0,0,0,0,0,0,0.0788339278841631,0.210908984117384,0.00718913019583748,0,0,0,0,0,0,0,0,0,0,0,0.0454833405419615,0.0185631605681092,0,0,0,0,0,0,0,0,9
"P38-2020-JUL",0,0.0143854120921331,0,0,0,0,0.00557128281015985,0,0,0,0,0,0,0.0557414011337891,0,0,0,0.217484166129209,0,0.00196973702140632,0,0,0,0,0.0143854120921331,0.0416413935707473,0,0,0,0,0,0.0149151512965188,0,0.00557128281015985,0.29924940315549,0,0,0,0.0626849723005628,0.0966473385580382,0,0,0,0,0.00830523047063089,0.00830523047063089,0,0,0,0.0143854120921331,0,0,0,0.0149151512965188,0,0,0.0143854120921331,0,0,0,0,0.177102887579777,0.020344746673453,0.00196973702140632,0.0296814192246322,0,0.0797445489860813,0.0557414011337891,0,0,0,0,0,0,0,0,0,0.00196973702140632,0.0210939914682996,0,0,0,0.224737180549618,0,0.282297247343912,0,0.0557414011337891,0,0,0.00812151778415615,0,0.900994841683199,0,0,0,0,0.00557128281015985,0,0,0,0,0,0.0788711759075858,0,0.147940583409549,0,0,0,0.158238398256901,0,0.0788711759075858,0,0,0,0,0,0.00557128281015985,0.00440447724621913,0,0,0.02626616316036,0,0,0,0,9
"P12-2017-JUL",0,0,0,0.0816505049692049,0,0.0392945182979712,0,0.0894635887510407,0,0,0,0,0.0516058561352988,0.0632180579253312,0,0,0,0.340857885894588,0,0,0,0,0,0,0,0.0667593207975235,0,0,0,0,0.0516058561352988,0.0133190550796264,0,0,0.175830919250673,0,0,0,0.0654473065717095,0,0,0,0.0364827486210679,0,0,0,0,0,0,0.155373246235839,0,0,0,0,0,0,0,0,0,0,0,0.0516058561352988,0,0,0,0,0.207824613983077,0.155373246242066,0,0,0,0,0,0,0,0,0,0,0.0326297140446418,0,0,0,0.073014168875503,0.136902914312957,0.363460696333441,0,0.0516058561352988,0,0,0,0,0.798934424986472,0,0,0,0,0,0,0,0,0,0.121269769646202,0.0364827486210679,0,0.073014168875503,0,0,0,0.081650504970878,0.0894635887510407,0.0364827486210679,0,0,0,0,0.155373246235839,0,0,0,0,0,0,0,0,0,9
"P12-2021-JUL",0,0,0,0.0983600643434104,0.0725378405986456,0,0,0.0439311933983204,0,0,0,0,0,0.0439311933983204,0,0,0,0.270420907000923,0,0.0394541809574604,0,0,0.0143437448784063,0,0,0.0806685930445953,0.0462164229513555,0.00717168797158937,0,0,0.0439311933983204,0,0,0.032077989852556,0.076140132839659,0,0,0,0.123884199947288,0,0,0,0,0,0.00717168797158937,0,0,0,0,0.0879474593837917,0,0,0.0248457991660939,0.0160369317830445,0,0,0.0392907246068215,0,0,0,0,0.0243225668426405,0,0.0160369317830445,0.0143437448784063,0,0.152726210705824,0.124537889257332,0,0,0,0,0,0,0,0,0,0,0.021960297004414,0,0,0,0,0.152726210724814,0.31901411283633,0,0.0439311933983204,0,0,0.0160369317830445,0,0.976647886279464,0.0265962382469022,0.00717168797158937,0,0,0,0,0,0,0,0,0.00801820811055829,0,0,0,0,0,0.0439311933983204,0.0621481063864778,0,0,0,0,0.0439311933983204,0.0656538207067422,0,0,0,0,0,0.0439311933983204,0,0,0,9
"P402-2021-JUL",0,0,0,0,0.053605621627042,0,0.0206303768538411,0,0,0,0,0.0203594690829426,0.0557817745116826,0.0789283616523957,0,0,0,0.336132296978047,0,0,0,0,0,0,0,0.0345041736532189,0,0,0.0789283616523957,0,0,0.0492595032278822,0,0.0033318762637598,0.0967174862137645,0,0,0,0.104194020350201,0,0,0,0,0,0.0573486350982339,0,0,0,0,0.124992370798227,0,0,0.024456336632435,0.0273166041920667,0,0,0,0,0.0557817745116826,0,0,0.0557817745116826,0,0.0128759249690909,0.0249805150055917,0,0,0.0967174862137645,0,0.111738071630694,0,0,0,0,0,0,0,0,0.10196691704852,0,0,0,0.0557817745116826,0,0.331109210978926,0,0.0557817745116826,0,0,0,0,0.854451066790548,0,0,0,0,0.0128759249690909,0,0,0,0,0,0.298020268200503,0,0,0,0,0,0,0,0,0,0.0789283616523957,0,0,0.0557817745116826,0,0,0,0,0,0,0,0,0,9
"P12-2014-JUL",0,0,0,0.0149892416120294,0,0.00865382663806002,0,0.138632439830775,0,0,0,0,0,0.121138663204432,0,0.116364248537456,0,0.218951846980472,0,0,0,0.0356877708719155,0,0,0,0.0787875213177287,0,0,0,0,0.0474161344940785,0,0,0.0217568277009097,0.226768776242076,0.0335219859908518,0,0,0.0688064261462779,0.0449812079251468,0,0,0,0.00670319181357537,0.0335219859908518,0,0,0,0,0.121138663204432,0,0,0.0482005279527491,0.0287050796195082,0,0,0,0,0,0,0,0.0672159472271978,0,0.0346217907459901,0,0,0.150453781668322,0,0,0,0,0,0,0,0,0,0,0,0.0312064910142886,0,0,0,0.138632439830775,0.273613503606893,0.467782069393738,0,0,0,0,0,0,0.754919816372003,0,0.0042394517105866,0,0,0,0,0,0,0,0,0.0474161344940785,0.0335219859908518,0,0,0,0,0.058083563205004,0.0335219859908518,0,0,0,0,0,0.0887908511137998,0,0,0,0,0,0,0.0887908511113935,0,0,9
"P402-2014-JUL",0,0,0.00760554141193804,0,0,0.00340127528203148,0.0100132313437026,0.00340127528203148,0,0,0,0,0.0901110126301016,0.0589458321946253,0,0.0680779481441709,0,0.160951171416549,0,0,0,0,0,0,0,0.0461115832757333,0,0,0,0,0.0481197718197306,0.0152115227989636,0,0.0048101389178421,0.127609879938153,0,0,0,0.0304265668278626,0.0930746797219404,0,0,0,0,0.0351353810044132,0,0,0,0,0.118097733242952,0,0.0340192487016853,0.0175649793905132,0.0141610842321294,0,0.00941782588006633,0,0,0.0340192487016853,0,0,0.0589458321946253,0,0,0.00878215098405662,0,0.0481197718197306,0,0,0,0,0,0,0,0,0,0,0,0.0481197718197306,0.0589458321946253,0,0,0.296932367209525,0.107766030510153,0.376753342736933,0,0,0,0,0,0,0.899523887688125,0,0,0,0,0,0,0,0,0,0,0.160218229023149,0,0,0,0,0,0,0,0,0,0,0,0,0.0680779481441709,0,0,0,0,0,0.148806437948151,0,0,0,9
